Country_Code,Country,Date,CO_cities_count,NO2_cities_count,O3_cities_count,PM10_cities_count,PM25_cities_count,SO2_cities_count,CO_locations_count,NO2_locations_count,O3_locations_count,PM10_locations_count,PM25_locations_count,SO2_locations_count,CO_sources_count,NO2_sources_count,O3_sources_count,PM10_sources_count,PM25_sources_count,SO2_sources_count,CO_units_count,NO2_units_count,O3_units_count,PM10_units_count,PM25_units_count,SO2_units_count,CO_value_count,NO2_value_count,O3_value_count,PM10_value_count,PM25_value_count,SO2_value_count,CO_value_max,NO2_value_max,O3_value_max,PM10_value_max,PM25_value_max,SO2_value_max,CO_value_mean,NO2_value_mean,O3_value_mean,PM10_value_mean,PM25_value_mean,SO2_value_mean,CO_value_median,NO2_value_median,O3_value_median,PM10_value_median,PM25_value_median,SO2_value_median,CO_value_p90,NO2_value_p90,O3_value_p90,PM10_value_p90,PM25_value_p90,SO2_value_p90,CO_value_p95,NO2_value_p95,O3_value_p95,PM10_value_p95,PM25_value_p95,SO2_value_p95,CO_value_std,NO2_value_std,O3_value_std,PM10_value_std,PM25_value_std,SO2_value_std,total_records,observed_pollutants,total_locations,total_cities,total_sources,year,month,quarter,time_index_months,month_sin,month_cos,future_PM25_value_p95_h1,future_PM10_value_p95_h1,future_PM25_value_p95_h3,future_PM10_value_p95_h3,PM25_p95_rel_p90_threshold,PM25_p95_rel_p90_history_count,PM25_p95_rel_p90_h1,PM25_p95_rel_p90_h3,PM10_p95_rel_p90_threshold,PM10_p95_rel_p90_history_count,PM10_p95_rel_p90_h1,PM10_p95_rel_p90_h3,PM25_value_p95_lag_1,PM10_value_p95_lag_1,O3_value_p95_lag_1,NO2_value_p95_lag_1,PM25_value_p95_lag_2,PM10_value_p95_lag_2,O3_value_p95_lag_2,NO2_value_p95_lag_2,PM25_value_p95_lag_3,PM10_value_p95_lag_3,O3_value_p95_lag_3,NO2_value_p95_lag_3,PM25_value_p95_roll_mean_3,PM25_value_p95_roll_max_3,PM25_value_p95_roll_std_3,PM10_value_p95_roll_mean_3,PM10_value_p95_roll_max_3,PM10_value_p95_roll_std_3,PM25_value_p95_country_anomaly,PM25_value_p95_country_zscore,PM25_value_p95_country_history_count,PM10_value_p95_country_anomaly,PM10_value_p95_country_zscore,PM10_value_p95_country_history_count,O3_value_p95_country_anomaly,O3_value_p95_country_zscore,O3_value_p95_country_history_count,NO2_value_p95_country_anomaly,NO2_value_p95_country_zscore,NO2_value_p95_country_history_count
AF,Afghanistan,2021-08-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,136.0,,,,,,136.0,,,,,,136.0,,,,,,136.0,,,,,,136.0,,,,,,,,1,1,1,0,1,2021,8,3,89,-0.8660254037844384,-0.5000000000000004,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
DZ,Algeria,2023-08-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,11.0,,,,,,11.0,,,,,,11.0,,,,,,11.0,,,,,,11.0,,,,,,,,1,1,1,0,1,2023,8,3,113,-0.8660254037844384,-0.5000000000000004,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
AD,Andorra,2023-04-01,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,45.8,,,,,,45.8,,,,,,45.8,,,,,,45.8,,,,,,45.8,,,,,,,,,,1,1,1,1,1,2023,4,2,109,0.8660254037844387,-0.4999999999999998,7.9,11.0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
AD,Andorra,2023-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,100.0,4.7,108.7,11.0,7.9,0.2,100.0,4.7,79.6,11.0,7.9,0.2,100.0,4.7,79.6,11.0,7.9,0.2,100.0,4.7,102.88,11.0,7.9,0.2,100.0,4.7,105.79,11.0,7.9,0.2,,,41.15361466505707,,,,7,6,7,6,6,2023,5,2,110,0.49999999999999994,-0.8660254037844387,,,,,,1,,,,1,,,,,45.8,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,1.0,,,0.0
AG,Antigua and Barbuda,2023-05-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,10.0,,,,,,10.0,,,,,,10.0,,,,,,10.0,,,,,,10.0,,,,,,,,1,1,1,0,1,2023,5,2,110,0.49999999999999994,-0.8660254037844387,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
AR,Argentina,2022-02-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,,,1,1,1,0,1,2022,2,1,95,0.8660254037844386,0.5000000000000001,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
AR,Argentina,2023-08-01,1.0,1.0,,1.0,,,3.0,3.0,,3.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,3.0,3.0,,3.0,,,0.6,0.036,,21.0,,,0.4966666666666666,0.0223333333333333,,20.666666666666668,,,0.51,0.031,,21.0,,,0.582,0.0349999999999999,,21.0,,,0.591,0.0355,,21.0,,,0.1106044001535803,0.0195021366350801,,0.5773502691896255,,,9,3,9,3,3,2023,8,3,113,-0.8660254037844384,-0.5000000000000004,,,,,,1,,,,1,,,,,,,,,,,,,,,3.0,3.0,,,,,,,1.0,,,0.0,,,0.0,,,0.0
AM,Armenia,2023-06-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,10.4,,,,,,10.4,,,,,,10.4,,,,,,10.4,,,,,,10.4,,,,,,,,1,1,1,0,1,2023,6,2,111,1.2246467991473532e-16,-1.0,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
AU,Australia,2018-01-01,1.0,1.0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,2.0,,,,,0.2,0.002,,,,,0.2,0.002,,,,,0.2,0.002,,,,,0.2,0.002,,,,,0.2,0.002,,,,,,0.0,,,,,3,2,3,2,2,2018,1,1,46,0.49999999999999994,0.8660254037844387,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0
AU,Australia,2018-03-01,,,,0.0,0.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,8.0,1.0,,,,,8.0,1.0,,,,,8.0,1.0,,,,,8.0,1.0,,,,,8.0,1.0,,,,,,,,2,2,2,0,2,2018,3,1,48,1.0,6.123233995736766e-17,,,,,,1,,,,1,,,,,,,,,,0.002,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,1.0
