Country_Code,Country,Date,CO_cities_count,NO2_cities_count,O3_cities_count,PM10_cities_count,PM25_cities_count,SO2_cities_count,CO_locations_count,NO2_locations_count,O3_locations_count,PM10_locations_count,PM25_locations_count,SO2_locations_count,CO_sources_count,NO2_sources_count,O3_sources_count,PM10_sources_count,PM25_sources_count,SO2_sources_count,CO_units_count,NO2_units_count,O3_units_count,PM10_units_count,PM25_units_count,SO2_units_count,CO_value_count,NO2_value_count,O3_value_count,PM10_value_count,PM25_value_count,SO2_value_count,CO_value_max,NO2_value_max,O3_value_max,PM10_value_max,PM25_value_max,SO2_value_max,CO_value_mean,NO2_value_mean,O3_value_mean,PM10_value_mean,PM25_value_mean,SO2_value_mean,CO_value_median,NO2_value_median,O3_value_median,PM10_value_median,PM25_value_median,SO2_value_median,CO_value_p90,NO2_value_p90,O3_value_p90,PM10_value_p90,PM25_value_p90,SO2_value_p90,CO_value_p95,NO2_value_p95,O3_value_p95,PM10_value_p95,PM25_value_p95,SO2_value_p95,CO_value_std,NO2_value_std,O3_value_std,PM10_value_std,PM25_value_std,SO2_value_std,total_records,observed_pollutants,total_locations,total_cities,total_sources
AF,Afghanistan,2021-08-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,136.0,,,,,,136.0,,,,,,136.0,,,,,,136.0,,,,,,136.0,,,,,,,,1,1,1,0,1
DZ,Algeria,2024-03-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,78.0,,,,,,78.0,,,,,,78.0,,,,,,78.0,,,,,,78.0,,,,,,,,1,1,1,0,1
AD,Andorra,2023-04-01,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,45.8,,,,,,45.8,,,,,,45.8,,,,,,45.8,,,,,,45.8,,,,,,,,,,1,1,1,1,1
AD,Andorra,2023-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,100.0,4.7,108.7,11.0,7.9,0.2,100.0,4.7,79.6,11.0,7.9,0.2,100.0,4.7,79.6,11.0,7.9,0.2,100.0,4.7,102.88000000000001,11.0,7.9,0.2,100.0,4.7,105.79,11.0,7.9,0.2,,,41.15361466505707,,,,7,6,7,6,6
AG,Antigua and Barbuda,2023-05-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,10.0,,,,,,10.0,,,,,,10.0,,,,,,10.0,,,,,,10.0,,,,,,,,1,1,1,0,1
AR,Argentina,2017-01-01,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,,,1,1,1,1,1
AR,Argentina,2022-02-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,,,,1,1,1,0,1
AR,Argentina,2023-08-01,,,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,11.170833508173624,,,,,,6.779166743159294,,,,,,6.779166743159294,,,,,,10.292500155170758,,,,,,10.731666831672191,,,,,,6.210754700506442,,2,1,2,0,1
AR,Argentina,2023-09-01,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,17.512499888737995,,,,,,17.512499888737995,,,,,,17.512499888737995,,,,,,17.512499888737995,,,,,,17.512499888737995,,,,,,,,1,1,1,0,1
AR,Argentina,2023-12-01,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,1,1,1,1,1
