target,split_name,model,model_family,rows,event_rate,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,false_alarm_rate,missed_event_rate
extreme_abs_151_h3,random_split,random_forest,ensemble,48751.0,0.1314229451703555,0.9064136807078952,0.6595446584938705,0.8816918994849383,0.7546086027250868,0.9734719799343311,0.8687633540042234,0.06886453806914793,0.11830810051506165
extreme_abs_151_h3,temporal_split,random_forest,ensemble,48405.0,0.13042041111455427,0.9121298816999999,0.672779575692197,0.8891176936480278,0.7659661572052402,0.9753558463106597,0.8758893766753496,0.06485793024802813,0.11088230635197212
extreme_abs_201_h1,random_split,random_forest,ensemble,49443.0,0.041684363812875436,0.9446687509988039,0.5348119034250421,0.9243085880640466,0.6775742486217322,0.9900924282885151,0.8282730364650195,0.034971086066438735,0.07569141193595343
extreme_abs_201_h1,temporal_split,random_forest,ensemble,53015.0,0.04138451381684429,0.9480869698403624,0.531461258450338,0.9316317228805834,0.6768211920529801,0.989292889155688,0.82146446017947,0.035457783199858324,0.06836827711941659
extreme_abs_201_h3,random_split,random_forest,ensemble,48751.0,0.04149658468544235,0.9445145962249064,0.5448175182481751,0.9223924864063272,0.6850220264317181,0.9893188294381774,0.8071923442003702,0.033363293956514294,0.07760751359367277
extreme_abs_201_h3,temporal_split,random_forest,ensemble,48405.0,0.03964466480735461,0.9444880242875211,0.544362292051756,0.9207920792079208,0.6842207163601162,0.9890853465001268,0.8113183320731278,0.03181603063287872,0.07920792079207921
extreme_city_p90_h1,random_split,random_forest,ensemble,49443.0,0.10808405638816415,0.6584667372153807,0.31947942905121746,0.42720808383233533,0.3655724579663731,0.7982693963758462,0.2994173212565937,0.11027460940157373,0.5727919161676647
extreme_city_p90_h1,temporal_split,random_forest,ensemble,53015.0,0.0987079128548524,0.6456237947133024,0.29684119428818695,0.3932734569080833,0.3383199079401611,0.7921619074105137,0.2688341731225213,0.10202586748147838,0.6067265430919166
extreme_city_p90_h3,random_split,random_forest,ensemble,48751.0,0.10764907386515149,0.6668854278622781,0.3126147390506163,0.45426829268292684,0.37035886282429703,0.8025333785152469,0.3023822510313381,0.12049743695837069,0.5457317073170732
extreme_city_p90_h3,temporal_split,random_forest,ensemble,48405.0,0.09536204937506455,0.6603460973219891,0.3020527859237537,0.4239601386481802,0.3527715187021181,0.8064995975066029,0.272873809567452,0.10326794400420197,0.5760398613518197
extreme_city_p95_h1,random_split,random_forest,ensemble,49443.0,0.058693849483243334,0.6229523864087823,0.23449358806595133,0.3087525844245348,0.2665476721701621,0.8059549281603169,0.19970451044744142,0.0628478116069702,0.6912474155754652
extreme_city_p95_h1,temporal_split,random_forest,ensemble,53015.0,0.052079600113175514,0.609846398982052,0.21659513590844062,0.2741760231800072,0.2420076726342711,0.8017029808745423,0.16192608404196135,0.05448322521590321,0.7258239768199928
extreme_city_p95_h3,random_split,random_forest,ensemble,48751.0,0.05850136407458308,0.6228455500822634,0.22115384615384615,0.31451612903225806,0.25969889982628835,0.8082785631492183,0.19104243386999512,0.06882502886773133,0.6854838709677419
extreme_city_p95_h3,temporal_split,random_forest,ensemble,48405.0,0.051255035636814376,0.6178305790324733,0.2134502923976608,0.294236195082628,0.2474156922555499,0.8129109601581023,0.16729805923094015,0.05857503701768139,0.705763804917372
