target,model,model_family,feature_set,n_features,held_out_country,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Australia,validation,47877,6516,0.1360987530547026,0.925601019278568,0.9145326579878386,0.6684919005247547,0.8993247391037447,0.7669153252192121,0.861325740947413,38455,2906,656,5860,0.0702594231280675,0.1006752608962553,0.9761272785552604,0.883396831459751
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Australia,test,10439,1,9.579461634256155e-05,0.9998084107673147,0.4999520981030849,0.0,0.0,0.0,0.4999520981030849,10437,1,1,0,9.580379383023568e-05,1.0,0.307721785782717,9.579461634256155e-05
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Bangladesh,validation,47813,5396,0.11285633614289,0.9261707067115638,0.9077625115795408,0.6215793588741204,0.8839881393624908,0.7299158377964805,0.8435784916004061,39513,2904,626,4770,0.068463116203409,0.1160118606375092,0.9750116492273848,0.857289844142877
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Bangladesh,test,10868,7466,0.686970923813029,0.8214022819285978,0.7305670479837816,0.806569748085673,0.9734797749799088,0.8821994295077987,0.756558927531994,1659,1743,198,7268,0.5123456790123457,0.026520225020091,0.9137884019941942,0.9589130917195784
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Brazil,validation,47577,6346,0.1333837778758644,0.9254681884103664,0.9158673095339648,0.6617001617001617,0.9027734005672864,0.763663023193815,0.8597104885151857,38302,2929,617,5729,0.0710387814993572,0.0972265994327135,0.9768020587778896,0.8807596815310509
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Brazil,test,12441,1135,0.0912306084719877,0.8986415882967607,0.7171507702042734,0.4496,0.4951541850220264,0.4712788259958071,0.7076134539811457,10618,688,573,562,0.0608526446134795,0.5048458149779735,0.8767649004738819,0.4178748239011386
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,China,validation,46161,6175,0.1337709321721799,0.9282077944585256,0.9146045002390512,0.6743449116392444,0.8960323886639676,0.7695410292072322,0.8635111165897082,37314,2672,642,5533,0.066823388185865,0.1039676113360323,0.977749501799314,0.8887157528109182
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,China,test,21879,2273,0.1038895744778097,0.64349376114082,0.8010813016423544,0.2256527350342499,1.0,0.3682164263729143,0.559951839825958,11806,7800,0,2273,0.3978373967152912,0.0,0.938372565138149,0.6128058508168085
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Egypt,validation,47169,5761,0.1221353007271725,0.9402573724268056,0.924729788313037,0.6968561872909699,0.9041833015101544,0.7870957993351466,0.8761747152824779,39142,2266,552,5209,0.0547237248840803,0.0958166984898455,0.9812953818171112,0.8991763552651828
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Egypt,test,15158,5032,0.3319699168755772,0.5829924792188943,0.6042057280177553,0.4194878201124297,0.6673290937996821,0.5151491907647465,0.5746647047637032,5479,4647,1674,3358,0.4589176377641714,0.332670906200318,0.6489698793610681,0.4410030819297319
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Ethiopia,validation,47920,6392,0.1333889816360601,0.9260642737896494,0.9135290808511602,0.6654279410056904,0.896433041301627,0.7638472305538893,0.8600091454178455,38647,2881,662,5730,0.0693748795993065,0.1035669586983729,0.9765157260634983,0.8822516603841207
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Ethiopia,test,10153,828,0.081552250566335,0.9161824091401556,0.7975500252554688,0.4896302975653742,0.6557971014492754,0.5606608156943728,0.7571663814984466,8759,566,285,543,0.0606970509383378,0.3442028985507246,0.9319766613565424,0.5426786601854996
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,France,validation,47705,6516,0.1365894560318624,0.9234671418090348,0.913499360350297,0.6616634691344092,0.8997851442602823,0.7625674708980945,0.8584743943022703,38191,2998,653,5863,0.0727864235596882,0.1002148557397176,0.9759605517281794,0.8808701009028409
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,France,test,11583,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11583,0,0,0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Germany,validation,47877,6516,0.1360987530547026,0.9236376548238192,0.9127498667239444,0.6617647058823529,0.8977900552486188,0.7619171659286272,0.858221698962224,38371,2990,666,5850,0.0722903218007301,0.1022099447513812,0.9764496953703936,0.8842613231188127
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Germany,test,10439,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10439,0,0,0,0.0,0.0,,
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,India,validation,46375,5405,0.1165498652291105,0.9283881401617252,0.913135578773485,0.6376122556788167,0.8932469935245143,0.7440856900670417,0.851227531581601,38226,2744,577,4828,0.0669758359775445,0.1067530064754856,0.9758133577128364,0.8701264995028782
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,India,test,20449,7406,0.3621692992322363,0.85011492004499,0.8650555282265111,0.7340161725067386,0.9192546583850932,0.8162580181044302,0.8448470170631166,10576,2467,598,6808,0.1891436019320708,0.0807453416149068,0.9435630341642548,0.8993020192541792
extreme_abs_151_h1,random_forest,ensemble,all_plus_local_normalization,91,Indonesia,validation,47426,6281,0.1324379032598153,0.9271707502213976,0.919713179973304,0.6643795790208163,0.9095685400413946,0.7678763440860215,0.8623431137726161,38259,2886,568,5713,0.0701421800947867,0.0904314599586053,0.9784838081714768,0.8887000248348212
