held_out_country,train_country,profile_distance,similarity_weight,target,model,feature_regime,temperature
Thailand,United Kingdom,0.2971548981872281,1.7865127382586017,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Germany,0.36466995330485785,1.6698778392874174,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Turkey,0.41211561254695994,1.5924995316768475,extreme_abs_151_h3,xgboost,local,1.0
Thailand,France,0.5095174316829632,1.4447018892274273,extreme_abs_151_h3,xgboost,local,1.0
Thailand,South Africa,0.6255165805372858,1.2864723323829725,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Philippines,0.627477546496159,1.283952075808426,extreme_abs_151_h3,xgboost,local,1.0
Thailand,United States,0.6462221949445969,1.2601090086036841,extreme_abs_151_h3,xgboost,local,1.0
Thailand,South Korea,0.678294699446288,1.2203353859532358,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Australia,0.7992529838949864,1.081303700286605,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Japan,0.8890336191513076,0.9884539806142935,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Ethiopia,0.9047178108493615,0.9730718225803894,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Indonesia,0.9169852808798866,0.9612076138592996,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Saudi Arabia,0.9481364698249769,0.9317264249067063,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Mexico,0.9654428768158206,0.9157403182275459,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Russia,0.9786545122788826,0.9037214601710625,extreme_abs_151_h3,xgboost,local,1.0
Thailand,China,1.005441413011853,0.8798349146639101,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Vietnam,1.0318751792253202,0.8568822632210665,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Brazil,1.068645427013376,0.8259467291604252,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Egypt,1.3644490660439188,0.6144494354056496,extreme_abs_151_h3,xgboost,local,1.0
Thailand,India,1.4418128720344752,0.5687055616661143,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Nigeria,1.6640021904519622,0.4553987985794956,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Pakistan,2.3391670085379253,0.24954808772941436,extreme_abs_151_h3,xgboost,local,1.0
Thailand,Bangladesh,2.366016708545493,0.24954808772941436,extreme_abs_151_h3,xgboost,local,1.0
