target,model,model_family,feature_set,feature_regime,weighting_strategy,temperature,min_weight,max_weight,n_features,held_out_country,train_weight_min,train_weight_mean,train_weight_max,train_weight_std,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Australia,0.444078481407969,0.9972204864755227,1.5284694628969226,0.2670889485301214,validation,47207,6407,0.1357213972504077,0.9447327726820176,0.8607320462912806,0.8300312825860271,0.7454346808178555,0.7854617218978702,0.8768712570439103,39822,978,1631,4776,0.0239705882352941,0.2545653191821445,0.9779449388230396,0.8898408525905879
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Australia,0.444078481407969,0.9972204864755227,1.5284694628969226,0.2670889485301214,test,10293,1,9.71534052268532e-05,0.9999028465947732,0.5,0.0,0.0,0.0,0.4999757104687879,10292,0,1,0,0.0,1.0,0.9020598523124757,0.0009910802775024
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Bangladesh,0.659293947180621,0.9943849806631088,2.004619951328443,0.2807986547938086,validation,47144,5308,0.1125912099100627,0.94955879857458,0.8538854628324776,0.8036898839137645,0.7304069329314242,0.7652980655349388,0.8685205095486852,40889,947,1431,3877,0.022636007266469,0.2695930670685757,0.977888896450222,0.8679881246147015
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Bangladesh,0.659293947180621,0.9943849806631088,2.004619951328443,0.2807986547938086,test,10716,7331,0.6841172079134005,0.8248413587159388,0.7904078449561734,0.8633093525179856,0.8839176101486836,0.8734919458111478,0.7944411965598575,2359,1026,851,6480,0.3031019202363367,0.1160823898513163,0.8983529001204291,0.9509646758118974
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Brazil,0.5807324702350092,1.0092484645688942,1.2955541311972745,0.1863934327501371,validation,46911,6237,0.132953891411396,0.9464517916906484,0.8652732836978301,0.8273861838635964,0.7546897546897547,0.7893677679020628,0.8793473595786567,39692,982,1530,4707,0.0241431872940945,0.2453102453102453,0.9797890828934412,0.8939433158952784
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Brazil,0.5807324702350092,1.0092484645688942,1.2955541311972745,0.1863934327501371,test,12267,1135,0.0925246596559876,0.9045406374826772,0.5209329851948821,0.38,0.0502202643171806,0.088715953307393,0.5191740977771857,11039,93,1078,57,0.0083542939274164,0.9497797356828194,0.8503067712876005,0.3402990773043091
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,China,0.7095701575630126,1.0064244325100091,1.2368075936666192,0.1165666196266541,validation,45515,6075,0.1334724815994727,0.9469625398220368,0.8692032383408876,0.8262341828551061,0.7631275720164609,0.7934280335444122,0.8815017764011635,38465,975,1439,4636,0.0247210953346855,0.2368724279835391,0.9796444461139076,0.8960230654471487
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,China,0.7095701575630126,1.0064244325100091,1.2368075936666192,0.1165666196266541,test,21573,2215,0.102674639595791,0.8229731608955639,0.8531816221710122,0.3555475504322766,0.891196388261851,0.5083043646195442,0.700179486642851,15780,3578,241,1974,0.1848331439198264,0.1088036117381489,0.9305077992265024,0.6209808761647596
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Egypt,0.8364472738662354,0.9923590885688622,1.2392759099612378,0.101465013218166,validation,46509,5662,0.1217398783031241,0.9569975703627256,0.8813471828693609,0.8530659467797918,0.7813493465206641,0.8156342182890856,0.8956472174565788,40085,762,1238,4424,0.0186549807819423,0.2186506534793359,0.9836247138339824,0.910999809936648
extreme_abs_151_h3,xgboost,boosting,all_plus_local_normalization_similarity_weighted,local,country_environmental_similarity,2.0,0.25,4.0,91,Egypt,0.8364472738662354,0.9923590885688622,1.2392759099612378,0.101465013218166,test,14946,4966,0.3322628127927204,0.6216378964271377,0.5053415126668964,0.3479028697571744,0.1586790173177607,0.2179504909417784,0.4842014049519359,8503,1477,4178,788,0.1479959919839679,0.8413209826822392,0.6140815460966234,0.4002603536721316
