target,model,model_family,held_out_country,criterion,selected_threshold,part,validation_threshold,validation_rows,validation_events,validation_event_rate,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_macro_f1,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_alarm_rate,validation_missed_event_rate,validation_roc_auc,validation_pr_auc,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc
extreme_abs_151_h1,random_forest,ensemble,Australia,f1,0.66,validation_selected,0.66,47877.0,6516.0,0.1360987530547026,0.9403680264009858,0.8901101463763583,0.7600511436283564,0.8210558624923265,0.7893766137956474,0.8773219155791945,39672.0,1689.0,1166.0,5350.0,0.0408355697396097,0.1789441375076734,0.9752779428561964,0.8797645787616346,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Australia,f1,0.66,test_calibrated,,,,,,,,,,,,,,,,,,,10439.0,1.0,9.579461634256155e-05,0.9999042053836574,0.5,0.0,0.0,0.0,0.4999760501987833,10438.0,0.0,1.0,0.0,0.0,1.0,0.6556332630772179,0.00027616680475
extreme_abs_151_h1,random_forest,ensemble,Australia,f1,0.66,test_default_threshold,,,,,,,,,,,,,,,,,,,10439.0,1.0,9.579461634256155e-05,0.9998084107673147,0.4999520981030849,0.0,0.0,0.0,0.4999520981030849,10437.0,1.0,1.0,0.0,9.580379383023568e-05,1.0,0.6556332630772179,0.00027616680475
extreme_abs_151_h1,random_forest,ensemble,Bangladesh,f1,0.67,validation_selected,0.67,47813.0,5396.0,0.11285633614289,0.945035868905946,0.881193229185754,0.7365003417634997,0.7987398072646404,0.7663584637268848,0.8676064522289405,40875.0,1542.0,1086.0,4310.0,0.0363533488931324,0.2012601927353595,0.9742325451599692,0.8544750715727043,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Bangladesh,f1,0.67,test_calibrated,,,,,,,,,,,,,,,,,,,10868.0,7466.0,0.686970923813029,0.8352042694147958,0.7854137659998301,0.852878995149857,0.9185641575140636,0.8845037724898432,0.798488842417662,2219.0,1183.0,608.0,6858.0,0.3477366255144033,0.0814358424859362,0.9114653094026252,0.9585512074714392
extreme_abs_151_h1,random_forest,ensemble,Bangladesh,f1,0.67,test_default_threshold,,,,,,,,,,,,,,,,,,,10868.0,7466.0,0.686970923813029,0.8185498711814502,0.7290509844904582,0.8063796564800357,0.968390034824538,0.8799902629016553,0.7540976955533918,1666.0,1736.0,236.0,7230.0,0.5102880658436214,0.031609965175462,0.9114653094026252,0.9585512074714392
extreme_abs_151_h1,random_forest,ensemble,Brazil,f1,0.69,validation_selected,0.69,47577.0,6346.0,0.1333837778758644,0.941925720411123,0.8822982999941686,0.772140361537293,0.8009769933816577,0.7862943769819785,0.8763457290808342,39731.0,1500.0,1263.0,5083.0,0.0363803933933205,0.1990230066183422,0.9761117447306696,0.8793554354548903,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,Brazil,f1,0.69,test_calibrated,,,,,,,,,,,,,,,,,,,12441.0,1135.0,0.0912306084719877,0.9099750823888756,0.6044950987000782,0.5147347740667977,0.2308370044052863,0.3187347931873479,0.6352689371737583,11059.0,247.0,873.0,262.0,0.02184680700513,0.7691629955947137,0.8304159578439112,0.3549424764063571
extreme_abs_151_h1,random_forest,ensemble,Brazil,f1,0.69,test_default_threshold,,,,,,,,,,,,,,,,,,,12441.0,1135.0,0.0912306084719877,0.8929346515553412,0.7219369310747636,0.4276267450404115,0.5127753303964758,0.4663461538461538,0.7034223398552667,10527.0,779.0,553.0,582.0,0.0689014682469485,0.4872246696035242,0.8304159578439112,0.3549424764063571
extreme_abs_151_h1,random_forest,ensemble,China,f1,0.7,validation_selected,0.7,46161.0,6175.0,0.1337709321721799,0.9454517883061458,0.8862847725448846,0.7906533142584645,0.8055060728744939,0.7980105888015402,0.8832394158193235,38669.0,1317.0,1201.0,4974.0,0.0329365277847246,0.194493927125506,0.9772553916137856,0.8867306041246528,,,,,,,,,,,,,,,,,
extreme_abs_151_h1,random_forest,ensemble,China,f1,0.7,test_calibrated,,,,,,,,,,,,,,,,,,,21879.0,2273.0,0.1038895744778097,0.7989853283970931,0.8683933364087302,0.3358059032607016,0.956005279366476,0.4970265324794145,0.6857098161911552,15308.0,4298.0,100.0,2173.0,0.2192186065490156,0.0439947206335239,0.935793064416071,0.5997979726077178
extreme_abs_151_h1,random_forest,ensemble,China,f1,0.7,test_default_threshold,,,,,,,,,,,,,,,,,,,21879.0,2273.0,0.1038895744778097,0.6692261986379634,0.8142723240445666,0.2386818277532112,0.9973603167619886,0.3851839265992693,0.5794678816414611,12375.0,7231.0,6.0,2267.0,0.3688156686728552,0.0026396832380114,0.935793064416071,0.5997979726077178
