AQI_Bucket,rows,rate
Moderate,122576,0.369293805736322
Good,82778,0.24939141961918534
Satisfactory,48701,0.14672511448541817
Unhealthy,25294,0.07620510966497951
Unhealthy for Sensitive Groups,24541,0.07393649072065558
Excellent,6302,0.01898650277175223
Very Unhealthy,4367,0.013156784767413835
Lightly Polluted,4003,0.012060134972282477
Poor,3803,0.011457580139792721
Very Poor,3678,0.011080983369486623
Hazardous,2455,0.007396360568811762
Moderately Polluted,1449,0.004365509761388287
Heavily Polluted,860,0.002590985779705953
Unknown,817,0.0024614364907206555
Severe,281,0.000846589539648108
Severely Polluted,15,4.519161243673174e-05
