Country,rows,states,cities,mean_aqi,median_aqi,max_aqi,extreme_abs_151,extreme_abs_201,extreme_abs_151_rate,extreme_abs_201_rate
Pakistan,11376,6,79,187.18398382559775,173.0,672.0,9342,2651,0.8212025316455697,0.23303445850914206
Bangladesh,10944,8,76,183.98967470760235,165.0,500.0,7536,2769,0.6885964912280702,0.25301535087719296
Nigeria,10368,37,72,126.3191550925926,122.0,605.0,4064,700,0.39197530864197533,0.06751543209876543
India,20592,36,142,140.10591491841492,93.0,430.0,7487,5858,0.3635878010878011,0.2844794094794095
Egypt,15264,25,106,120.84735324947589,125.0,269.0,5061,16,0.331564465408805,0.0010482180293501049
Indonesia,13536,9,94,90.76558806146572,79.0,497.0,1568,389,0.11583924349881797,0.028738179669030733
China,22032,33,153,83.35920479302833,72.0,316.0,2324,875,0.10548293391430646,0.03971496005809731
Russia,12096,8,84,81.88392857142857,68.0,500.0,1242,353,0.10267857142857142,0.029183201058201057
Mexico,12672,32,88,87.76096906565657,79.0,281.0,1217,35,0.0960385101010101,0.0027619949494949495
Brazil,12528,27,87,77.180156449553,64.0,420.0,1135,265,0.0905970625798212,0.021152618135376756
Ethiopia,10224,14,71,82.79548122065728,75.0,241.0,836,30,0.08176838810641628,0.0029342723004694834
Vietnam,10944,8,76,82.12929459064327,74.0,217.0,849,3,0.07757675438596491,0.00027412280701754384
Turkey,10656,7,74,86.45448573573573,81.0,198.0,616,0,0.05780780780780781,0.0
Saudi Arabia,10800,12,75,82.74166666666666,79.0,199.0,135,0,0.0125,0.0
South Korea,12672,9,87,78.78874684343434,77.0,199.0,138,0,0.010890151515151516,0.0
Philippines,20448,17,142,61.89681142410016,61.0,187.0,143,0,0.006993348982785603,0.0
South Africa,10800,9,75,67.67731481481482,69.0,198.0,61,0,0.005648148148148148,0.0
Thailand,9936,6,69,82.60185185185185,80.0,161.0,51,0,0.005132850241545894,0.0
United States,28080,51,184,51.20049857549858,53.0,164.0,35,0,0.0012464387464387464,0.0
Australia,10512,8,73,35.04223744292238,33.0,195.0,2,0,0.0001902587519025875,0.0
United Kingdom,10512,12,73,57.50180745814308,58.0,151.0,1,0,9.512937595129375e-05,0.0
France,11664,12,81,59.145233196159126,61.0,125.0,0,0,0.0,0.0
Japan,22752,47,158,51.58860759493671,51.0,137.0,0,0,0.0,0.0
Germany,10512,13,71,49.73078386605784,52.0,144.0,0,0,0.0,0.0
