target,model,experiment,shift_metric,outcome,n_countries,spearman_r,spearman_p
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_mean_abs,pr_auc_base,21,0.18441558441558442,0.42356621430502056
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_mean_abs,f1_base,24,0.09083056035347696,0.6729542681712501
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_mean_abs,pr_auc_delta,21,-0.6155844155844156,0.0029716265168021243
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_mean_abs,f1_delta,24,-0.32227381510031733,0.12457738383314465
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_max_abs,pr_auc_base,21,0.24155844155844156,0.291470754429199
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_max_abs,f1_base,24,0.4200913416348309,0.04097108816914498
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_max_abs,pr_auc_delta,21,-0.13896103896103898,0.5480180624883647
extreme_abs_151_h1,random_forest,Random Forest h=1,smd_max_abs,f1_delta,24,0.04978213403988641,0.8173107540959469
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_mean_norm,pr_auc_base,21,0.11298701298701298,0.6258096347836315
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_mean_norm,f1_base,24,0.08471696494506986,0.6938912600921824
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_mean_norm,pr_auc_delta,21,-0.6883116883116883,0.0005616985208752612
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_mean_norm,f1_delta,24,-0.32751403973609483,0.1182224421726097
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_max_norm,pr_auc_base,21,0.22207792207792207,0.3332805195945379
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_max_norm,f1_base,24,0.4401788694053114,0.031350831266929335
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_max_norm,pr_auc_delta,21,-0.14935064935064934,0.5181875885017935
extreme_abs_151_h1,random_forest,Random Forest h=1,wasserstein_max_norm,f1_delta,24,0.0628826956293302,0.7703596780489703
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_mean,pr_auc_base,21,-0.125974025974026,0.5863643592427876
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_mean,f1_base,24,-0.2393035917005066,0.260072518840394
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_mean,pr_auc_delta,21,-0.7623376623376623,5.89223250496118e-05
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_mean,f1_delta,24,-0.5161621266240854,0.009821510589598507
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_max,pr_auc_base,21,-0.2987012987012987,0.1884184241053724
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_max,f1_base,24,-0.3065531411929847,0.14512344298215293
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_max,pr_auc_delta,21,-0.387012987012987,0.08306017415904404
extreme_abs_151_h1,random_forest,Random Forest h=1,ks_max,f1_delta,24,-0.4777338126283836,0.018226359620923494
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_smd_abs,pr_auc_base,21,0.17662337662337665,0.4437478469481735
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_smd_abs,f1_base,24,0.09170393112610654,0.6699819905515225
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_smd_abs,pr_auc_delta,21,-0.6545454545454545,0.0012842386609677348
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_smd_abs,f1_delta,24,-0.32489392741820605,0.12136967369117507
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_wasserstein_norm,pr_auc_base,21,0.05454545454545454,0.8143428221052689
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_wasserstein_norm,f1_base,24,0.033188089359924275,0.8776490101315806
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_wasserstein_norm,pr_auc_delta,21,-0.7714285714285715,4.228381556117157e-05
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_wasserstein_norm,f1_delta,24,-0.23668347938261786,0.2654839031760584
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_ks,pr_auc_base,21,-0.05584415584415584,0.8099992137199937
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_ks,f1_base,24,-0.11004471735132786,0.6087304410196416
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_ks,pr_auc_delta,21,-0.7051948051948052,0.0003564308384906877
extreme_abs_151_h1,random_forest,Random Forest h=1,aqi_ks,f1_delta,24,-0.2611378610162463,0.21774770808881164
extreme_abs_151_h1,xgboost,XGBoost h=1,smd_mean_abs,pr_auc_base,21,0.20649350649350648,0.3691521306594588
