target,model,weighting_strategy,metric,n_countries,local_mean,weighted_mean,mean_delta,median_delta,relative_delta_pct,countries_improved,countries_worse,countries_equal
extreme_abs_151_h1,xgboost,country_class_balanced,pr_auc,24,0.4125669934032078,0.4125736778909803,6.684487772571199e-06,0.00046142488002959986,0.001620218747367982,13,8,0
extreme_abs_151_h1,xgboost,country_class_balanced,roc_auc,24,0.8757612370336377,0.8826056269223685,0.0068443898887308495,0.0005511569561361673,0.7815360624905072,12,9,0
extreme_abs_151_h1,xgboost,country_class_balanced,f1,24,0.28528575909518306,0.34544986368713326,0.06016410459195013,0.016522385281978136,21.08906690006805,16,1,7
extreme_abs_151_h1,xgboost,country_class_balanced,recall,24,0.2778620285573136,0.436653213926874,0.15879118536956036,0.10726875327155834,57.147493737816376,16,1,7
extreme_abs_151_h1,xgboost,country_class_balanced,precision,24,0.3551565460401271,0.3150575824863657,-0.04009896355376142,-0.0031631911317068773,-11.29050386395831,5,12,7
extreme_abs_151_h1,xgboost,country_class_balanced,balanced_accuracy,24,0.6770364181843146,0.7337286928987705,0.05669227471445573,0.024720740720249434,8.373593087723972,16,2,6
extreme_abs_151_h1,xgboost,country_class_balanced,false_alarm_rate,24,0.04878919218868425,0.09419582812933315,0.0454066359406489,0.023260091445971694,93.06699681570078,17,1,6
extreme_abs_151_h1,xgboost,country_class_balanced,missed_event_rate,24,0.5971379714426863,0.438346786073126,-0.15879118536956036,-0.10726875327155833,-26.59204287175384,1,16,7
extreme_abs_151_h3,xgboost,country_class_balanced,pr_auc,24,0.3785524161728084,0.3859749461523372,0.0074225299795288345,0.0060987605488,1.9607667689909725,16,5,0
extreme_abs_151_h3,xgboost,country_class_balanced,roc_auc,24,0.8564829696028288,0.8653965326482334,0.008913563045404619,0.00632506622864859,1.0407169041012043,14,7,0
extreme_abs_151_h3,xgboost,country_class_balanced,f1,24,0.25361636051173236,0.3169993921619441,0.0633830316502117,0.01228737579436399,24.991696719533827,15,2,7
extreme_abs_151_h3,xgboost,country_class_balanced,recall,24,0.24446536170106783,0.38994615183188586,0.14548079013081797,0.07214067638985427,59.50977640288845,17,0,7
extreme_abs_151_h3,xgboost,country_class_balanced,precision,24,0.3327942021990787,0.30368314452463085,-0.029111057674447816,0.0,-8.747465395155375,9,8,7
extreme_abs_151_h3,xgboost,country_class_balanced,balanced_accuracy,24,0.6607116545797435,0.7140935652958126,0.05338191071606918,0.008633074625344073,8.079456499071993,14,4,6
extreme_abs_151_h3,xgboost,country_class_balanced,false_alarm_rate,24,0.04804205254158076,0.08674966971259485,0.038707617171014085,0.017281217509574513,80.57028191606166,17,1,6
extreme_abs_151_h3,xgboost,country_class_balanced,missed_event_rate,24,0.6305346382989322,0.48505384816811414,-0.145480790130818,-0.07214067638985429,-23.072608750456393,0,17,7
extreme_abs_151_h3,xgboost,inverse_country_size,pr_auc,24,0.3785524161728084,0.38051157584443895,0.0019591596716304997,0.0009310863378357015,0.5175398671174106,13,8,0
extreme_abs_151_h3,xgboost,inverse_country_size,roc_auc,24,0.8564829696028288,0.8547374084515404,-0.0017455611512883534,0.001819145433317182,-0.20380570463623007,14,7,0
extreme_abs_151_h3,xgboost,inverse_country_size,f1,24,0.25361636051173236,0.25468077607065037,0.0010644155589179536,0.0,0.4196951477303111,9,4,11
extreme_abs_151_h3,xgboost,inverse_country_size,recall,24,0.24446536170106783,0.24721768077524733,0.002752319074179442,0.0,1.1258523723066245,10,3,11
extreme_abs_151_h3,xgboost,inverse_country_size,precision,24,0.3327942021990787,0.32553482697635844,-0.007259375222720277,0.0,-2.1813406527970978,5,8,11
extreme_abs_151_h3,xgboost,inverse_country_size,balanced_accuracy,24,0.6607116545797435,0.6611909563539493,0.00047930177420576803,0.0,0.0725432601170984,8,7,9
extreme_abs_151_h3,xgboost,inverse_country_size,false_alarm_rate,24,0.04804205254158076,0.04983576806734866,0.0017937155257678975,0.0,3.7336363266649006,11,4,9
extreme_abs_151_h3,xgboost,inverse_country_size,missed_event_rate,24,0.6305346382989322,0.6277823192247527,-0.0027523190741794348,0.0,-0.4365056107947838,3,10,11
