target,model,weighting_strategy,metric,n_countries,wilcoxon_statistic,p_value,mean_delta,median_delta
extreme_abs_151_h1,xgboost,country_class_balanced,pr_auc,21,102.0,0.6578273773193359,6.684487772571199e-06,0.00046142488002959986
extreme_abs_151_h1,xgboost,country_class_balanced,roc_auc,21,93.0,0.45236778259277344,0.0068443898887308495,0.0005511569561361673
extreme_abs_151_h1,xgboost,country_class_balanced,f1,24,9.0,0.0013967480890075116,0.06016410459195013,0.016522385281978136
extreme_abs_151_h1,xgboost,country_class_balanced,recall,24,1.0,0.0003515325685074632,0.15879118536956036,0.10726875327155834
extreme_abs_151_h1,xgboost,country_class_balanced,precision,24,45.0,0.13592202165385756,-0.04009896355376142,-0.0031631911317068773
extreme_abs_151_h1,xgboost,country_class_balanced,balanced_accuracy,24,8.0,0.0007377478079437866,0.05669227471445573,0.024720740720249434
extreme_abs_151_h1,xgboost,country_class_balanced,false_alarm_rate,24,2.0,0.00027641623202831126,0.0454066359406489,0.023260091445971694
extreme_abs_151_h1,xgboost,country_class_balanced,missed_event_rate,24,1.0,0.0003515325685074632,-0.15879118536956036,-0.10726875327155833
extreme_abs_151_h3,xgboost,country_class_balanced,pr_auc,21,49.0,0.01947307586669922,0.007422529979528833,0.0060987605488
extreme_abs_151_h3,xgboost,country_class_balanced,roc_auc,21,67.0,0.09579944610595703,0.008913563045404619,0.00632506622864859
extreme_abs_151_h3,xgboost,country_class_balanced,f1,24,13.0,0.0026473530335901696,0.0633830316502117,0.01228737579436399
extreme_abs_151_h3,xgboost,country_class_balanced,recall,24,0.0,0.0002930525201924893,0.14548079013081797,0.07214067638985427
extreme_abs_151_h3,xgboost,country_class_balanced,precision,24,71.0,0.7945864126678862,-0.029111057674447816,0.0
extreme_abs_151_h3,xgboost,country_class_balanced,balanced_accuracy,24,12.0,0.001369747573348664,0.05338191071606918,0.008633074625344073
extreme_abs_151_h3,xgboost,country_class_balanced,false_alarm_rate,24,3.0,0.0003270126629328652,0.038707617171014085,0.017281217509574513
extreme_abs_151_h3,xgboost,country_class_balanced,missed_event_rate,24,0.0,0.0002930525201924893,-0.145480790130818,-0.07214067638985429
extreme_abs_151_h3,xgboost,inverse_country_size,pr_auc,21,76.0,0.1789875030517578,0.0019591596716305,0.0009310863378357015
extreme_abs_151_h3,xgboost,inverse_country_size,roc_auc,21,63.0,0.07013702392578125,-0.0017455611512883534,0.001819145433317182
extreme_abs_151_h3,xgboost,inverse_country_size,f1,24,31.0,0.31089682851661204,0.0010644155589179536,0.0
extreme_abs_151_h3,xgboost,inverse_country_size,recall,24,25.0,0.15195618574341052,0.002752319074179442,0.0
extreme_abs_151_h3,xgboost,inverse_country_size,precision,24,44.0,0.916511907863894,-0.007259375222720277,0.0
extreme_abs_151_h3,xgboost,inverse_country_size,balanced_accuracy,24,56.0,0.8202800980995039,0.00047930177420576803,0.0
extreme_abs_151_h3,xgboost,inverse_country_size,false_alarm_rate,24,25.0,0.046826465481518996,0.0017937155257678975,0.0
extreme_abs_151_h3,xgboost,inverse_country_size,missed_event_rate,24,25.0,0.15195618574341052,-0.0027523190741794348,0.0
