feature,missing_values,missing_rate,non_missing_values
AQI_lag_12,27660,0.08333333333333333,304260
AQI_lag_6,13830,0.041666666666666664,318090
AQI_lag_3,6915,0.020833333333333332,325005
AQI_trend_3,6915,0.020833333333333332,325005
PM10_lag_3,6915,0.020833333333333332,325005
PM25_lag_3,6915,0.020833333333333332,325005
AQI_lag_2,4610,0.013888888888888888,327310
AQI_roll_std_3,4610,0.013888888888888888,327310
AQI_roll_std_6,4610,0.013888888888888888,327310
PM10_lag_2,4610,0.013888888888888888,327310
PM10_roll_std_3,4610,0.013888888888888888,327310
PM25_lag_2,4610,0.013888888888888888,327310
PM25_roll_std_3,4610,0.013888888888888888,327310
AQI_delta_1,2305,0.006944444444444444,329615
AQI_lag_1,2305,0.006944444444444444,329615
AQI_roll_max_3,2305,0.006944444444444444,329615
AQI_roll_max_6,2305,0.006944444444444444,329615
AQI_roll_mean_3,2305,0.006944444444444444,329615
AQI_roll_mean_6,2305,0.006944444444444444,329615
CO_lag_1,2305,0.006944444444444444,329615
Deforestation_Rate_lag_1,2305,0.006944444444444444,329615
Humidity_lag_1,2305,0.006944444444444444,329615
NO2_lag_1,2305,0.006944444444444444,329615
O3_lag_1,2305,0.006944444444444444,329615
PM10_lag_1,2305,0.006944444444444444,329615
PM10_roll_max_3,2305,0.006944444444444444,329615
PM10_roll_mean_3,2305,0.006944444444444444,329615
PM25_lag_1,2305,0.006944444444444444,329615
PM25_roll_max_3,2305,0.006944444444444444,329615
PM25_roll_mean_3,2305,0.006944444444444444,329615
SO2_lag_1,2305,0.006944444444444444,329615
Wind_Speed_lag_1,2305,0.006944444444444444,329615
PM25_PM10_ratio,13,3.916606411183418e-05,331907
AQI,0,0.0,331920
Benzene (ug/m3),0,0.0,331920
CO (mg/m3),0,0.0,331920
CO2_Emission_MT,0,0.0,331920
Deforestation_Rate_%,0,0.0,331920
Humidity (%),0,0.0,331920
Industry_Growth_%,0,0.0,331920
NH3 (ug/m3),0,0.0,331920
NO (ug/m3),0,0.0,331920
NO2 (ug/m3),0,0.0,331920
NOx (ppb),0,0.0,331920
O3 (ug/m3),0,0.0,331920
PM10 (ug/m3),0,0.0,331920
PM2.5 (ug/m3),0,0.0,331920
Population_Density_per_SqKm,0,0.0,331920
SO2 (ug/m3),0,0.0,331920
Toluene (ug/m3),0,0.0,331920
Wind_Speed (km/h),0,0.0,331920
Xylene (ug/m3),0,0.0,331920
deforestation_aug_oct,0,0.0,331920
humidity_PM25,0,0.0,331920
industry_NO2,0,0.0,331920
is_aug_oct,0,0.0,331920
is_dec_feb,0,0.0,331920
low_wind_PM25,0,0.0,331920
month,0,0.0,331920
month_cos,0,0.0,331920
month_sin,0,0.0,331920
quarter,0,0.0,331920
time_index_months,0,0.0,331920
year,0,0.0,331920
