target,held_out_country,feature,native_importance,group
extreme_abs_151_h3,Brazil,PM2.5 (ug/m3),0.13173276,current_pollutant
extreme_abs_151_h3,Brazil,humidity_PM25,0.0935209,interaction
extreme_abs_151_h3,Brazil,PM25_city_past_anomaly,0.06332881,local_normalization
extreme_abs_151_h3,Brazil,AQI_lag_6,0.042374477,lag
extreme_abs_151_h3,Brazil,AQI_roll_mean_6,0.036828067,rolling
extreme_abs_151_h3,Brazil,CO (mg/m3),0.035545476,current_pollutant
extreme_abs_151_h3,Brazil,PM10_city_past_anomaly,0.029665671,local_normalization
extreme_abs_151_h3,Brazil,PM10 (ug/m3),0.027299175,current_pollutant
extreme_abs_151_h3,Brazil,AQI,0.027258314,current_aqi
extreme_abs_151_h3,Brazil,month,0.025456041,calendar
extreme_abs_151_h3,Brazil,SO2 (ug/m3),0.023903009,current_pollutant
extreme_abs_151_h3,Brazil,PM25_city_past_zscore,0.020102069,local_normalization
extreme_abs_151_h3,Brazil,industry_NO2,0.012877327,interaction
extreme_abs_151_h3,Brazil,quarter,0.012558083,calendar
extreme_abs_151_h3,Brazil,AQI_roll_max_6,0.012318612,rolling
extreme_abs_151_h3,Brazil,NO (ug/m3),0.0121285925,current_pollutant
extreme_abs_151_h3,Brazil,is_dec_feb,0.0120515665,calendar
extreme_abs_151_h3,Brazil,Population_Density_per_SqKm,0.012016793,current_socio_environmental
extreme_abs_151_h3,Brazil,deforestation_aug_oct,0.011268837,interaction
extreme_abs_151_h3,Brazil,Xylene (ug/m3),0.011178946,current_pollutant
extreme_abs_151_h3,Brazil,month_cos,0.010733129,calendar
extreme_abs_151_h3,Brazil,SO2_lag_1,0.010700286,lag
extreme_abs_151_h3,Brazil,PM10_roll_mean_3,0.0105357,rolling
extreme_abs_151_h3,Brazil,Toluene (ug/m3),0.010464225,current_pollutant
extreme_abs_151_h3,Brazil,NO2 (ug/m3),0.010256239,current_pollutant
extreme_abs_151_h3,Brazil,month_sin,0.010228663,calendar
extreme_abs_151_h3,Brazil,AQI_city_past_zscore,0.010192205,local_normalization
extreme_abs_151_h3,Brazil,is_aug_oct,0.009968638,calendar
extreme_abs_151_h3,Brazil,NO2_city_past_anomaly,0.009777361,local_normalization
extreme_abs_151_h3,Brazil,PM10_city_past_zscore,0.009556596,local_normalization
extreme_abs_151_h3,Brazil,AQI_city_past_anomaly,0.00936745,local_normalization
