feature,group,permutation_importance_mean,permutation_importance_std,folds
PM25_city_past_anomaly,local_normalization,0.07768486223589981,0.07849796572690462,3
month,calendar,0.06287092662955095,0.06500727864848324,3
PM10_city_past_anomaly,local_normalization,0.03953696882122836,0.05254047084933506,3
deforestation_aug_oct,interaction,0.035033341057032805,0.02571478890694236,3
AQI_city_past_anomaly,local_normalization,0.03079103497456846,0.0351174997551508,3
Deforestation_Rate_%,current_socio_environmental,0.027510198545731116,0.04152595531878613,3
AQI_city_past_zscore,local_normalization,0.025911464512223887,0.027203603145517168,3
AQI_roll_max_6,rolling,0.025640461155791213,0.04470938878031504,3
Deforestation_Rate_lag_1,lag,0.025231820141548764,0.03973064212661335,3
PM25_city_past_zscore,local_normalization,0.02134715879066,0.01685397686494422,3
CO_city_past_anomaly,local_normalization,0.01790139482027184,0.024154671874615025,3
month_cos,calendar,0.014532046514669194,0.012759803589355075,3
PM25_roll_max_3,rolling,0.012084253234567155,0.019715096373937584,3
Humidity_lag_1,lag,0.01173579694234439,0.01507516633957569,3
PM10 (ug/m3),current_pollutant,0.011374875598307332,0.05687750903185703,3
NO2_city_past_zscore,local_normalization,0.010238999107160295,0.00658037693654948,3
PM10_roll_mean_3,rolling,0.00932421858106048,0.011292483323822945,3
AQI_trend_3,rolling,0.0088397004386302,0.006201475941421796,3
CO_city_past_zscore,local_normalization,0.008453546283406376,0.018011710515841214,3
NO2 (ug/m3),current_pollutant,0.00832863369802162,0.04483484007354417,3
NO2_city_past_anomaly,local_normalization,0.008028259912117074,0.008078642323553792,3
AQI,current_aqi,0.007837032963633509,0.10357973353242378,3
PM25_roll_mean_3,rolling,0.006196329744038702,0.008237033984968355,3
PM10_roll_max_3,rolling,0.005726776023802863,0.007857329782440456,3
PM10_city_past_zscore,local_normalization,0.005582542983412943,0.005513480588070655,3
AQI_lag_6,lag,0.0052417808345376045,0.016921230420703516,3
Deforestation_Rate_city_past_anomaly,local_normalization,0.005184661085573466,0.010448243489366243,3
PM25_lag_2,lag,0.0051628527000849795,0.006042171250494812,3
O3_lag_1,lag,0.0049970708585232015,0.004996395683865726,3
AQI_roll_std_6,rolling,0.004933505969567831,0.009923946265237484,3
is_dec_feb,calendar,0.004712865795359036,0.004679995505114348,3
PM10_lag_3,lag,0.004626602771108657,0.005925005841851129,3
PM25_lag_1,lag,0.004180552419389157,0.007164038813893224,3
Population_Density_per_SqKm,current_socio_environmental,0.004150231438932191,0.007682948534768582,3
