feature,missing_values,missing_rate,non_missing_values
AQI_city_past_anomaly,13830,0.041666666666666664,318090
AQI_city_past_zscore,13830,0.041666666666666664,318090
CO_city_past_anomaly,13830,0.041666666666666664,318090
CO_city_past_zscore,13830,0.041666666666666664,318090
Deforestation_Rate_city_past_anomaly,13830,0.041666666666666664,318090
Deforestation_Rate_city_past_zscore,13830,0.041666666666666664,318090
Humidity_city_past_anomaly,13830,0.041666666666666664,318090
Humidity_city_past_zscore,13830,0.041666666666666664,318090
NO2_city_past_anomaly,13830,0.041666666666666664,318090
NO2_city_past_zscore,13830,0.041666666666666664,318090
O3_city_past_anomaly,13830,0.041666666666666664,318090
O3_city_past_zscore,13830,0.041666666666666664,318090
PM10_city_past_anomaly,13830,0.041666666666666664,318090
PM10_city_past_zscore,13830,0.041666666666666664,318090
PM25_city_past_anomaly,13830,0.041666666666666664,318090
PM25_city_past_zscore,13830,0.041666666666666664,318090
Wind_Speed_city_past_anomaly,13830,0.041666666666666664,318090
Wind_Speed_city_past_zscore,13830,0.041666666666666664,318090
AQI_city_history_count,0,0.0,331920
CO_city_history_count,0,0.0,331920
Deforestation_Rate_city_history_count,0,0.0,331920
Humidity_city_history_count,0,0.0,331920
NO2_city_history_count,0,0.0,331920
O3_city_history_count,0,0.0,331920
PM10_city_history_count,0,0.0,331920
PM25_city_history_count,0,0.0,331920
Wind_Speed_city_history_count,0,0.0,331920
