target,model,metric,mean_delta,ci_lower,ci_upper,confidence,n_resamples
extreme_abs_151_h1,xgboost,pr_auc,0.026566787280115987,0.016324484030351843,0.03816055618109419,0.95,10000
extreme_abs_151_h1,xgboost,roc_auc,0.04156025351962663,0.01860829461734341,0.07382433163064846,0.95,10000
extreme_abs_151_h1,xgboost,f1,0.0124539825882379,0.003770944157841039,0.022547061792069438,0.95,10000
extreme_abs_151_h1,xgboost,recall,0.013551885940534634,0.004469886063063969,0.023555738561424996,0.95,10000
extreme_abs_151_h1,xgboost,precision,0.02857557924752466,0.006449922554777631,0.05520884651704345,0.95,10000
extreme_abs_151_h1,xgboost,balanced_accuracy,0.005940714721920102,0.002347255972015579,0.010058477313152247,0.95,10000
extreme_abs_151_h1,xgboost,false_alarm_rate,0.0016704564966944044,-0.00446137054371587,0.0085374668537329,0.95,10000
extreme_abs_151_h1,xgboost,missed_event_rate,-0.013551885940534622,-0.02395674876736854,-0.0041695194274348375,0.95,10000
extreme_abs_151_h3,xgboost,pr_auc,0.048124490186279144,0.02631028553186415,0.07757599119769822,0.95,10000
extreme_abs_151_h3,xgboost,roc_auc,0.07312011907151195,0.03638823797488744,0.12047656517457038,0.95,10000
extreme_abs_151_h3,xgboost,f1,0.023651888024214942,0.010031198392574372,0.04239412398239513,0.95,10000
extreme_abs_151_h3,xgboost,recall,0.02955057975058634,0.011311357114414512,0.05253891573577273,0.95,10000
extreme_abs_151_h3,xgboost,precision,0.03487498646120129,-0.006039713565049896,0.09029369768889459,0.95,10000
extreme_abs_151_h3,xgboost,balanced_accuracy,0.015109623041832538,0.007366666373956462,0.024402965575646654,0.95,10000
extreme_abs_151_h3,xgboost,false_alarm_rate,-0.0006686663330787284,-0.008361137812339457,0.006950985134567839,0.95,10000
extreme_abs_151_h3,xgboost,missed_event_rate,-0.02955057975058635,-0.05242007844341035,-0.011478331118782222,0.95,10000
extreme_abs_151_h1,random_forest,pr_auc,0.013030961407934355,0.007504024020037442,0.019932563140873775,0.95,10000
extreme_abs_151_h1,random_forest,roc_auc,-0.015340563831906425,-0.05817787274739415,0.015502157480058239,0.95,10000
extreme_abs_151_h1,random_forest,f1,0.0010270932280971687,-0.0049556145518369,0.006703915446524953,0.95,10000
extreme_abs_151_h1,random_forest,recall,-0.006852922641311272,-0.015120341525346522,0.00041660258530665646,0.95,10000
extreme_abs_151_h1,random_forest,precision,0.0029855394321045684,-0.015368958107088004,0.016033012761371,0.95,10000
extreme_abs_151_h1,random_forest,balanced_accuracy,-0.0020620966632544416,-0.005508560492580745,0.0012319755579196076,0.95,10000
extreme_abs_151_h1,random_forest,false_alarm_rate,-0.0027287293148024042,-0.006696361935548943,0.001383661911410008,0.95,10000
extreme_abs_151_h1,random_forest,missed_event_rate,0.00685292264131127,-0.00032750191164251946,0.01515292735660228,0.95,10000
