target,model,metric,n_countries,wilcoxon_statistic,p_value,mean_delta,median_delta
extreme_abs_151_h1,xgboost,pr_auc,21,0.0,9.5367431640625e-07,0.026566787280115987,0.01869039495201863
extreme_abs_151_h1,xgboost,roc_auc,21,10.0,4.100799560546875e-05,0.04156025351962663,0.02285563976566163
extreme_abs_151_h1,xgboost,f1,24,15.0,0.018566712279734197,0.0124539825882379,0.0
extreme_abs_151_h1,xgboost,recall,24,18.0,0.030327342511675306,0.013551885940534634,0.0
extreme_abs_151_h1,xgboost,precision,24,22.0,0.05553298081594267,0.02857557924752466,0.0
extreme_abs_151_h1,xgboost,balanced_accuracy,24,19.0,0.0064899700076656245,0.005940714721920102,0.0009141595824929682
extreme_abs_151_h1,xgboost,false_alarm_rate,24,69.0,0.7225627705707576,0.0016704564966944044,-4.014774369680424e-05
extreme_abs_151_h1,xgboost,missed_event_rate,24,18.0,0.030327342511675306,-0.013551885940534622,0.0
extreme_abs_151_h3,xgboost,pr_auc,21,2.0,2.86102294921875e-06,0.048124490186279144,0.025405285789571498
extreme_abs_151_h3,xgboost,roc_auc,21,9.0,3.147125244140625e-05,0.07312011907151195,0.046050429505697155
extreme_abs_151_h3,xgboost,f1,24,2.0,0.001523275741372569,0.023651888024214942,0.008943281082244903
extreme_abs_151_h3,xgboost,recall,24,5.0,0.0028648155524898344,0.02955057975058634,0.00041220115416323866
extreme_abs_151_h3,xgboost,precision,24,33.0,0.22089889066779878,0.03487498646120129,0.0
extreme_abs_151_h3,xgboost,balanced_accuracy,24,4.0,0.0009350911193154891,0.015109623041832538,0.004470779177412898
extreme_abs_151_h3,xgboost,false_alarm_rate,24,67.0,0.9587607499379828,-0.0006686663330787284,0.0
extreme_abs_151_h3,xgboost,missed_event_rate,24,5.0,0.0028648155524898344,-0.02955057975058635,-0.00041220115416323866
extreme_abs_151_h1,random_forest,pr_auc,21,3.0,4.76837158203125e-06,0.013030961407934355,0.0084618266627138
extreme_abs_151_h1,random_forest,roc_auc,21,60.0,0.05469322204589844,-0.015340563831906425,0.00504228672080409
extreme_abs_151_h1,random_forest,f1,24,70.0,0.3143893322216611,0.0010270932280971687,0.002344464260561341
extreme_abs_151_h1,random_forest,recall,24,51.0,0.3793746688088797,-0.006852922641311272,0.0
extreme_abs_151_h1,random_forest,precision,24,44.0,0.040135536373545506,0.0029855394321045684,0.00509076775504011
extreme_abs_151_h1,random_forest,balanced_accuracy,24,76.0,0.44450890263539566,-0.0020620966632544416,0.0
extreme_abs_151_h1,random_forest,false_alarm_rate,24,38.0,0.021801738635254905,-0.0027287293148024042,-0.0011685993940066287
extreme_abs_151_h1,random_forest,missed_event_rate,24,51.0,0.3793746688088797,0.00685292264131127,0.0
