metric,direction,experiment,held_out_country,delta
pr_auc,largest_gain,XGBoost h=3,Brazil,0.2711080479834772
pr_auc,largest_gain,XGBoost h=3,China,0.121254188397516
pr_auc,largest_gain,XGBoost h=3,Indonesia,0.099244338050343
pr_auc,largest_gain,XGBoost h=1,Indonesia,0.0914108496172475
pr_auc,largest_gain,XGBoost h=3,Vietnam,0.0825545026081204
pr_auc,smallest_delta,Random Forest h=1,United Kingdom,-0.0002764435019443
pr_auc,smallest_delta,Random Forest h=1,Australia,-0.0001803721884074
pr_auc,smallest_delta,XGBoost h=3,Australia,-0.0001454923566134
pr_auc,smallest_delta,XGBoost h=3,United Kingdom,4.683032633339985e-05
pr_auc,smallest_delta,XGBoost h=1,Australia,0.0001559891305518
f1,largest_gain,XGBoost h=3,Vietnam,0.1997058553175844
f1,largest_gain,XGBoost h=3,Brazil,0.0751633986928104
f1,largest_gain,XGBoost h=1,Brazil,0.0751349034131338
f1,largest_gain,XGBoost h=1,Ethiopia,0.0629642701085678
f1,largest_gain,XGBoost h=1,Vietnam,0.0563890387959465
f1,smallest_delta,Random Forest h=1,United States,-0.0401084010840107
f1,smallest_delta,Random Forest h=1,South Africa,-0.0298507462686567
f1,smallest_delta,XGBoost h=1,Philippines,-0.0176652641096081
f1,smallest_delta,Random Forest h=1,China,-0.016967500226355
f1,smallest_delta,Random Forest h=1,Philippines,-0.0128397491083507
