Country,observations,events,event_prevalence,city_count,aqi_mean,aqi_std,aqi_p90,aqi_p95,aqi_mean_abs_smd_vs_global,aqi_seasonal_amplitude,profile_shift_smd_mean,profile_shift_smd_max,target
Australia,10439,1.0,9.579461634256155e-05,73,34.984002299070795,15.823515091499845,48.0,65.0,0.8378622025806486,8.154109589041092,0.6486707440189949,1.0456721461117602,extreme_abs_151_h1
Bangladesh,10868,7466.0,0.686970923813029,76,183.49116672800884,89.91352253241237,312.0,389.0,1.6148344665948722,146.13157894736844,1.0957651761099267,1.7768712400103903,extreme_abs_151_h1
Brazil,12441,1135.0,0.09123060847198779,87,77.27409372236959,46.222109292983355,138.0,170.0,0.1394126242595542,66.98563218390805,0.28377232542249664,0.7651875734729425,extreme_abs_151_h1
China,21879,2273.0,0.10388957447780978,153,83.12432012432012,50.92064823378783,153.0,189.0,0.04279216244437482,75.72355912061795,0.3141366940596507,0.5488632368981105,extreme_abs_151_h1
Egypt,15158,5032.0,0.33196991687557725,106,120.93290671592558,37.64017172237268,164.0,170.0,0.581642320269343,31.041666666666657,0.740603011930592,1.3820517752717532,extreme_abs_151_h1
Ethiopia,10153,828.0,0.08155225056633507,71,82.69742933123214,36.95038590873872,139.0,157.0,0.04984255378633324,50.56455399061033,0.307458873118293,0.9075303102775173,extreme_abs_151_h1
France,11583,0.0,0.0,81,59.0981610981611,24.39005084978576,92.0,95.0,0.4396004945079742,14.218761690983918,0.40346692468793477,0.6955961475549335,extreme_abs_151_h1
Germany,10439,0.0,0.0,71,49.73167927962449,18.238434414944763,70.0,78.0,0.5942943023559496,2.2465753424657535,0.3767540981685167,0.5942943023559496,extreme_abs_151_h1
India,20449,7406.0,0.3621692992322363,142,139.55469705120055,112.1311888585646,322.0,345.0,0.8891938333902405,140.62126509853783,0.487228519238666,0.8891938333902405,extreme_abs_151_h1
Indonesia,13442,1568.0,0.11664930813866985,94,90.92902841839012,53.636023585348006,159.0,188.0,0.08610789507380594,67.65070921985817,0.31697316229111266,1.1512710135702595,extreme_abs_151_h1
Japan,22594,0.0,0.0,158,51.507966716827475,19.930553827655768,77.0,87.0,0.5649577090846478,26.704689298043732,0.489785362465727,0.6366722269567895,extreme_abs_151_h1
Mexico,12584,1206.0,0.09583598219961856,88,87.57390336935792,36.595906502155344,147.0,161.0,0.030695726481991495,46.05940082644628,0.25478445192069893,0.92975726312256,extreme_abs_151_h1
Nigeria,10296,4021.0,0.39054001554001555,72,125.91025641025641,61.22455985290098,188.0,218.0,0.6638466305027972,85.16550925925925,0.4903208665065049,0.8457045045239795,extreme_abs_151_h1
Pakistan,11297,9269.0,0.8204833141542003,79,186.65220855094273,75.12754530587299,268.0,342.1999999999989,1.667041218909131,118.78538550057536,1.1995455294687656,1.9061738729319602,extreme_abs_151_h1
Philippines,20306,142.0,0.006993006993006993,142,61.8522604156407,27.55133265584225,95.0,110.0,0.39411467401886846,17.16490610328639,0.4372644348775525,1.3805897685497122,extreme_abs_151_h1
Russia,12012,1231.0,0.10248085248085248,84,81.72943722943722,54.0141230687215,152.0,179.0,0.06582960069407137,42.516865079365076,0.22629564539827726,0.587247281473581,extreme_abs_151_h1
Saudi Arabia,10725,135.0,0.012587412587412588,75,82.78191142191142,27.66239037694757,124.0,138.0,0.048447274688447096,8.430000000000007,0.4696056332701313,1.8566510806355718,extreme_abs_151_h1
South Africa,10725,61.0,0.005687645687645688,75,67.70899766899767,26.25807060837327,96.0,99.0,0.29738668107130595,19.212222222222223,0.48868529562476737,0.702734267814652,extreme_abs_151_h1
South Korea,12584,130.0,0.010330578512396695,87,78.68444055944056,28.597467379887217,118.0,136.0,0.11611978850332746,42.94912190082645,0.33701440589194626,0.7083236906204269,extreme_abs_151_h1
Thailand,9867,51.0,0.005168744299179082,69,82.60514847471369,17.2108519763204,103.0,120.0,0.051366634798059696,1.522946859903385,0.18806036696834352,0.5355574831760618,extreme_abs_151_h1
Turkey,10582,611.0,0.05773955773955774,74,86.35617085617086,31.179576870162776,133.0,152.0,0.010584047085743844,24.62950450450451,0.26257995232405207,0.5573171983725634,extreme_abs_151_h1
United Kingdom,10439,1.0,9.579461634256155e-05,73,57.504933422741644,15.744813943548234,75.0,82.0,0.4659137315007217,2.044520547945204,0.32981422949870837,0.5495579842100767,extreme_abs_151_h1
United States,27885,35.0,0.0012551551013089475,184,51.20132687824996,20.01032740722997,75.0,83.0,0.5700220742525349,10.135470085470082,0.40938837951199947,0.6766547916442124,extreme_abs_151_h1
