held_out_country,model,h1_event_rate,h1_balanced_accuracy,h1_precision,h1_recall,h1_f1,h1_roc_auc,h1_pr_auc,h3_event_rate,h3_balanced_accuracy,h3_precision,h3_recall,h3_f1,h3_roc_auc,h3_pr_auc,delta_h1_minus_h3_event_rate,delta_h1_minus_h3_balanced_accuracy,delta_h1_minus_h3_precision,delta_h1_minus_h3_recall,delta_h1_minus_h3_f1,delta_h1_minus_h3_roc_auc,delta_h1_minus_h3_pr_auc
Russia,decision_tree,0.1024808524808524,0.8573281695518284,0.478116079923882,0.8164094232331438,0.603060306030603,0.9230482727119218,0.7283562375253214,0.1024147247551502,0.6401478495863991,0.1598870056497175,0.6999175597691674,0.2603096734631304,0.6811742913346718,0.3370828566090004,6.612772570219194e-05,0.2171803199654293,0.31822907427416447,0.11649186346397644,0.3427506325674726,0.24187398137725002,0.391273380916321
Brazil,decision_tree,0.0912306084719877,0.7265708590269406,0.3070175438596491,0.5859030837004405,0.4029082096334444,0.7510052749660816,0.2988735008432613,0.0925246596559876,0.4714502857975024,0.0576009501187648,0.0854625550660792,0.0688187300461156,0.5239792494075896,0.1073802489595687,-0.001294051183999903,0.2551205732294382,0.24941659374088426,0.5004405286343614,0.3340894795873288,0.22702602555849205,0.1914932518836926
China,decision_tree,0.1038895744778097,0.7428578477753943,0.1904303708887333,0.957765068191817,0.317694272163444,0.9039486596913888,0.5407356453823026,0.102674639595791,0.7268494520612799,0.1967452534946797,0.8514672686230248,0.319633929328023,0.7870311374349113,0.3924068752508136,0.001214934882018709,0.016008395714114387,-0.006314882605946398,0.10629779956879215,-0.0019396571645790006,0.11691752225647756,0.14832877013148899
Indonesia,decision_tree,0.1166493081386698,0.6417222459979444,0.260933480338111,0.4528061224489796,0.3310795057122872,0.6669920431537951,0.2360157723270568,0.1183039082541119,0.3768248003890928,0.0204081632653061,0.0452806122448979,0.0281355260550822,0.3287302561149396,0.0884759163084716,-0.0016546001154420925,0.2648974456088516,0.2405253170728049,0.40752551020408173,0.30294397965720504,0.3382617870388555,0.1475398560185852
Vietnam,decision_tree,0.0771071034228929,0.6913719462138643,0.1972402597402597,0.5799522673031027,0.2943670502725621,0.758035559193541,0.305750171621867,0.0766144083613288,0.6064103045436278,0.1454157782515991,0.415347137637028,0.2154137713202779,0.6497550713675075,0.1636161156124831,0.0004926950615641024,0.08496164167023657,0.05182448148866059,0.16460512966607466,0.07895327895228421,0.1082804878260335,0.14213405600938392
Ethiopia,decision_tree,0.081552250566335,0.7624397430417946,0.285204081632653,0.6751207729468599,0.4010043041606886,0.8317237828806776,0.3819963023434015,0.0796124263310358,0.6472392537786179,0.2253711201079622,0.4190715181932246,0.2931110136024572,0.7117848732181321,0.2528232676751111,0.0019398242352992034,0.11520048926317672,0.05983296152469078,0.2560492547536353,0.10789329055823138,0.1199389096625455,0.1291730346682904
Mexico,decision_tree,0.0958359821996185,0.8283937726262927,0.3368102288021534,0.8300165837479271,0.47917663954045,0.8845481897945673,0.5341346722709888,0.0949387491940683,0.747878892791108,0.3062774890043982,0.6502546689303905,0.4164175047567274,0.770846794981306,0.4167372178769204,0.0008972330055501965,0.08051487983518468,0.03053273979775517,0.17976191481753656,0.06275913478372258,0.11370139481326125,0.11739745439406835
India,decision_tree,0.3621692992322363,0.8284796788304598,0.6682777668179128,0.914798811774237,0.77234382124943,0.9039506810901904,0.843786959526193,0.3608589991568715,0.7704094590467578,0.6473402437635266,0.7810610225398571,0.7079414512612893,0.8124289586485957,0.7549753613392849,0.001310300075364812,0.05807021978370197,0.02093752305438623,0.13373778923437996,0.06440236998814075,0.09152172244159473,0.08881159818690809
Egypt,decision_tree,0.3319699168755772,0.5875890449650776,0.3898721730580137,0.7879570747217806,0.5216418892251019,0.6209573169793512,0.4204500548576099,0.3322628127927204,0.5183305999836968,0.3502515537141166,0.4766411598872332,0.4037871033776868,0.5374222972727574,0.3689163995676831,-0.00029289591714320995,0.06925844498138078,0.0396206193438971,0.31131591483454735,0.1178547858474151,0.08353501970659383,0.051533655289926816
Turkey,decision_tree,0.0577395577395577,0.6669981243478428,0.1762168823166974,0.4680851063829787,0.2560429722470904,0.7516463045614608,0.1762409904157634,0.0575043128234617,0.6078274354281066,0.1255580357142857,0.375,0.1881270903010033,0.6501010101010102,0.1364371385096766,0.00023524491609600018,0.0591706889197362,0.05065884660241171,0.09308510638297868,0.06791588194608708,0.10154529446045057,0.03980385190608682
Nigeria,decision_tree,0.3905400155400155,0.7874659630565032,0.631345069218937,0.9186769460333252,0.7483792544570502,0.8896956714301708,0.8384036001778954,0.3879038613081166,0.7527789524236546,0.6105224698575082,0.8486541391569324,0.7101572460688482,0.8507979246391157,0.8051311770108273,0.0026361542318988906,0.034687010632848625,0.020822599361428717,0.07002280687639273,0.038222008388202,0.038897746791055066,0.03327242316706813
South Africa,decision_tree,0.0056876456876456,0.5948825833507557,0.049618320610687,0.2131147540983606,0.0804953560371517,0.7039787610837134,0.0368677175803328,0.0057683215130023,0.4929142096252615,0.0,0.0,0.0,0.6417563467289515,0.008749756844147,-8.067582535670019e-05,0.10196837372549422,0.049618320610687,0.2131147540983606,0.0804953560371517,0.062222414354761835,0.028117960736185797
Bangladesh,decision_tree,0.686970923813029,0.6796794892086139,0.7774426370785307,0.9666488079292794,0.8617827930025673,0.8835565636135627,0.9423364760960412,0.6841172079134005,0.6391683845155243,0.7532161234991424,0.9583958532260264,0.8435080136862957,0.8436659683781484,0.9163153948915196,0.0028537158996285727,0.040511104693089606,0.02422651357938832,0.008252954703253046,0.01827477931627164,0.03989059523541427,0.026021081204521623
South Korea,decision_tree,0.0103305785123966,0.5951662116589047,0.0823529411764705,0.2153846153846154,0.1191489361702127,0.7228116391397265,0.0459365285556331,0.0102353320438426,0.5449603029325756,0.0252659574468085,0.1496062992125984,0.043230944254835,0.523080913029345,0.0255907085484535,9.524646855400137e-05,0.05020590872632913,0.057086983729662005,0.06577831617201699,0.07591799191537771,0.19973072611038145,0.020345820007179598
Thailand,decision_tree,0.005168744299179,0.6777140562826598,0.0365853658536585,0.4117647058823529,0.0672,0.9255866772136728,0.0367616197752808,0.0052420598211532,0.7281037647545069,0.0259623992837958,0.5686274509803921,0.0496575342465753,0.7837788556216039,0.0187627053393797,-7.331552197420085e-05,-0.050389708471847094,0.0106229665698627,-0.1568627450980392,0.017542465753424698,0.14180782159206895,0.0179989144359011
Philippines,decision_tree,0.0069930069930069,0.6598889109303709,0.0423861852433281,0.380281690140845,0.0762711864406779,0.8354615393212279,0.0374115372089926,0.0068924183398261,0.7151150586444859,0.0294230034390523,0.5579710144927537,0.0558983666061706,0.8244776223837388,0.0336911134840307,0.00010058865318079979,-0.05522614771411494,0.0129631818042758,-0.17768932435190865,0.020372819834507304,0.010983916937489124,0.0037204237249619035
United States,decision_tree,0.0012551551013089,0.5541985124390869,0.0238095238095238,0.1142857142857142,0.0394088669950738,0.7436665811746601,0.0078557849519697,0.0012729587197672,0.5256398917906565,0.0122699386503067,0.0571428571428571,0.0202020202020202,0.5096457184476122,0.0057324495602619,-1.7803618458300027e-05,0.0285586206484304,0.011539585159217101,0.0571428571428571,0.0192068467930536,0.23402086272704792,0.0021233353917078004
United Kingdom,decision_tree,9.579461634256155e-05,0.4974132975665836,0.0,0.0,0.0,0.8819218241042346,0.0005763688760806,9.71534052268532e-05,0.4988826272833268,0.0,0.0,0.0,0.2956665371162067,9.748488984207449e-05,-1.3587888842916414e-06,-0.001469329716743184,0.0,0.0,0.0,0.5862552869880279,0.00047888398623852546
Australia,decision_tree,9.579461634256155e-05,0.4999041962061697,0.0,0.0,0.0,0.5303219007472696,0.0001073076510355,9.71534052268532e-05,0.4995141857753595,0.0,0.0,0.0,0.4649727944034201,9.903931860948797e-05,-1.3587888842916414e-06,0.000390010430810217,0.0,0.0,0.0,0.0653491063438495,8.268332426012034e-06
Saudi Arabia,decision_tree,0.0125874125874125,0.5142429965376141,0.0149532710280373,0.1777777777777777,0.0275862068965517,0.4905403420417584,0.0138194720814559,0.0126713947990543,0.5030702011444549,0.0131353512278697,0.1716417910447761,0.0244031830238726,0.5425039346891631,0.014313575769763,-8.398221164179938e-05,0.011172795393159185,0.0018179198001676,0.006135986733001614,0.0031830238726790992,-0.051963592647404744,-0.0004941036883070998
Pakistan,decision_tree,0.8204833141542003,0.6889227532635667,0.8818989938458532,0.9739993526809796,0.9256638982877065,0.8334887260731888,0.9522328616367944,0.8195529221653649,0.6886038097386875,0.8842390172808662,0.930441450323146,0.9067520683213236,0.8464135669554518,0.95504690798144,0.0009303919888353773,0.0003189435248791561,-0.002340023435012939,0.04355790235783363,0.018911829966382854,-0.012924840882262978,-0.002814046344645549
France,decision_tree,0.0,0.998963998963999,0.0,0.0,0.0,,,0.0,0.9897557131599684,0.0,0.0,0.0,,,0.0,0.009208285804030658,0.0,0.0,0.0,,
Germany,decision_tree,0.0,0.9982756969058338,0.0,0.0,0.0,,,0.0,0.9977654716797824,0.0,0.0,0.0,,,0.0,0.0005102252260514861,0.0,0.0,0.0,,
Japan,decision_tree,0.0,0.9986722138620872,0.0,0.0,0.0,,,0.0,0.9772421222730944,0.0,0.0,0.0,,,0.0,0.021430091588992783,0.0,0.0,0.0,,
Brazil,logistic_regression,0.0912306084719877,0.7316573555345842,0.4139095205941931,0.5400881057268723,0.4686544342507645,0.7736601593945283,0.4065716834137466,0.0925246596559876,0.4667648213429237,0.0420353982300885,0.0502202643171806,0.0457647531112003,0.3453469855526236,0.0667648665010604,-0.001294051183999903,0.26489253419166053,0.3718741223641046,0.48986784140969164,0.42288968113956416,0.42831317384190465,0.3398068169126862
China,logistic_regression,0.1038895744778097,0.8554766807560773,0.3058577405857741,0.9648042234931808,0.4644710367467966,0.9388189748965308,0.6255222740303814,0.102674639595791,0.7861376949515101,0.2521019442984761,0.8663656884875847,0.390556629693701,0.8602949719867802,0.3580915204717422,0.001214934882018709,0.06933898580456721,0.053755796287297986,0.09843853500559618,0.0739144070530956,0.07852400290975059,0.2674307535586392
