held_out_country,prevalence_group,rows,events,event_rate,model,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,false_alarm_rate,missed_event_rate
Pakistan,high,11297,9269,0.8204833141542003,logistic_regression,0.6779919832029013,0.8767943720886016,0.9950372208436724,0.9321811198706288,0.910178634088773,0.9777287589646898,0.6390532544378699,0.0049627791563275
Bangladesh,high,10868,7466,0.686970923813029,random_forest,0.7290509844904582,0.8063796564800357,0.968390034824538,0.8799902629016553,0.9114653094026252,0.9585512074714392,0.5102880658436214,0.031609965175462
Nigeria,high,10296,4021,0.3905400155400155,logistic_regression,0.822511119411932,0.6785714285714286,0.9261377766724695,0.7832579661373436,0.9197276053706092,0.8818606549031621,0.2811155378486056,0.0738622233275304
India,high,20449,7406,0.3621692992322363,random_forest,0.8630604136644431,0.7303563761270931,0.9187145557655956,0.813778256189451,0.9407638114432726,0.8929748760676951,0.1925937284367093,0.0812854442344045
Egypt,high,15158,5032,0.3319699168755772,logistic_regression,0.5883136588680558,0.4097759140348578,0.621422893481717,0.4938798073126431,0.6231522168844263,0.4380228366764958,0.4447955757456053,0.3785771065182829
Indonesia,moderate,13442,1568,0.1166493081386698,logistic_regression,0.6412177996514422,0.3214659685863874,0.3915816326530612,0.3530764807360552,0.6909144658368652,0.2730103632461933,0.1091460333501768,0.6084183673469388
China,moderate,21879,2273,0.1038895744778097,logistic_regression,0.8554766807560773,0.3058577405857741,0.9648042234931808,0.4644710367467966,0.9388189748965308,0.6255222740303814,0.2538508619810262,0.0351957765068191
Russia,moderate,12012,1231,0.1024808524808524,random_forest,0.8963901050159625,0.6596692111959288,0.8424045491470349,0.7399215126650018,0.9621938466075686,0.8126971640008517,0.0496243391151099,0.157595450852965
Mexico,low,12584,1206,0.0958359821996185,random_forest,0.8568091458101769,0.5036687631027253,0.796849087893864,0.6172125883108542,0.902472170698625,0.6067048220351441,0.0832307962735102,0.2031509121061359
Brazil,low,12441,1135,0.0912306084719877,logistic_regression,0.7316573555345842,0.4139095205941931,0.5400881057268723,0.4686544342507645,0.7736601593945283,0.4065716834137466,0.0767733946577038,0.4599118942731277
Ethiopia,low,10153,828,0.081552250566335,random_forest,0.7868553703487845,0.4781818181818182,0.6352657004830918,0.5456431535269709,0.9269343746357384,0.5332099839506457,0.0615549597855227,0.3647342995169082
Vietnam,low,10868,838,0.0771071034228929,random_forest,0.7001445544036149,0.37392138063279,0.4653937947494033,0.4146730462519936,0.807112909481579,0.371725966142692,0.0651046859421734,0.5346062052505967
Turkey,low,10582,611,0.0577395577395577,random_forest,0.6283904173166012,0.2813918305597579,0.3044189852700491,0.2924528301886792,0.8231491620297883,0.2439130498355403,0.0476381506368468,0.6955810147299509
Saudi Arabia,low,10725,135,0.0125874125874125,random_forest,0.5159899276046584,0.0434782608695652,0.0444444444444444,0.0439560439560439,0.625861574511244,0.0249503872439305,0.0124645892351274,0.9555555555555556
South Korea,low,12584,130,0.0103305785123966,random_forest,0.5444274931748836,0.2181818181818181,0.0923076923076923,0.1297297297297297,0.8883830959469309,0.1131013934459502,0.0034527059579251,0.9076923076923076
Philippines,near_zero,20306,142,0.0069930069930069,logistic_regression,0.8364163856377702,0.0508552935737401,0.7746478873239436,0.0954446854663774,0.9015939018359312,0.0530227928290177,0.1018151160484031,0.2253521126760563
South Africa,near_zero,10725,61,0.0056876456876456,random_forest,0.5079622877030733,0.1666666666666666,0.0163934426229508,0.0298507462686567,0.9211303850552802,0.1094803634422665,0.0004688672168042,0.9836065573770492
Thailand,near_zero,9867,51,0.005168744299179,random_forest,0.5959747590967928,0.0450819672131147,0.2156862745098039,0.0745762711864406,0.950490995094044,0.050709321420856,0.0237367563162184,0.7843137254901961
United States,near_zero,27885,35,0.0012551551013089,random_forest,0.528427802000513,0.2,0.0571428571428571,0.0888888888888888,0.8921610669402411,0.0331794041642233,0.0002872531418312,0.9428571428571428
United Kingdom,near_zero,10439,1,9.579461634256155e-05,decision_tree,0.4974132975665836,0.0,0.0,0.0,0.8819218241042346,0.0005763688760806,0.0051734048668327,1.0
Australia,near_zero,10439,1,9.579461634256155e-05,random_forest,0.4999520981030849,0.0,0.0,0.0,0.6556332630772179,0.00027616680475,9.580379383023568e-05,1.0
Japan,near_zero,22594,0,0.0,decision_tree,0.9986722138620872,0.0,0.0,0.0,,,0.0013277861379127,0.0
Germany,near_zero,10439,0,0.0,decision_tree,0.9982756969058338,0.0,0.0,0.0,,,0.0017243030941661,0.0
France,near_zero,11583,0,0.0,decision_tree,0.998963998963999,0.0,0.0,0.0,,,0.001036001036001,0.0
