model,model_family,countries,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_roc_auc,mean_pr_auc,mean_false_alarm_rate,mean_missed_event_rate,target
random_forest,ensemble,24,0.708602298902442,0.3141482958478178,0.4128430119360547,0.3405687081675458,0.8492998525719957,0.3953125136390035,0.1206384141311706,0.4621569880639453,extreme_abs_151_h1
lightgbm,boosting,24,0.7158321422618693,0.2766918643684119,0.4435539055748452,0.328116835706531,0.8402220701800873,0.3866298194712537,0.1368856296087588,0.4314460944251547,extreme_abs_151_h1
logistic_regression,linear,24,0.7239548019586876,0.2773555156199927,0.461538515942181,0.3292368142741262,0.8085856826027301,0.3860058057193232,0.1386289120248056,0.413461484057819,extreme_abs_151_h1
xgboost,boosting,24,0.6710957034623947,0.3265809667926024,0.264310142616779,0.2728317765069452,0.8342009835140112,0.3860002061230918,0.0471187356919898,0.610689857383221,extreme_abs_151_h1
decision_tree,tree,24,0.7116309296920912,0.2429379656351288,0.4766978616110215,0.3052189778550872,0.7827088719507697,0.3513642657954894,0.1782656651323357,0.3983021383889784,extreme_abs_151_h1
majority_class,baseline,24,0.5625,0.0,0.0,0.0,0.5,0.1600396590250674,0.0,0.875,extreme_abs_151_h1
xgboost,boosting,24,0.6456020315379111,0.2979192157378774,0.2149147819504815,0.2299644724875174,0.7833628505313167,0.3304279259865292,0.0487107188746594,0.6600852180495185,extreme_abs_151_h3
random_forest,ensemble,24,0.6721770685190324,0.2609439165185024,0.3276490462895178,0.2757458094712898,0.767460541819321,0.3290929312312222,0.1082949092514528,0.5473509537104823,extreme_abs_151_h3
lightgbm,boosting,24,0.6734714535114202,0.2368272743889789,0.3555219810116465,0.2703016920723172,0.7685142901231184,0.3276231840468463,0.1335715927666736,0.5194780189883534,extreme_abs_151_h3
logistic_regression,linear,24,0.6883706068097637,0.2153040602373858,0.4118075567271095,0.2597446866832126,0.6866644818604004,0.3004651444686746,0.1600622950490308,0.4631924432728904,extreme_abs_151_h3
decision_tree,tree,24,0.6527867928811469,0.1912037439070711,0.3767493482695994,0.2314793820800722,0.6466673391559132,0.2763038910165375,0.1947075669703405,0.4982506517304006,extreme_abs_151_h3
majority_class,baseline,24,0.5625,0.0,0.0,0.0,0.5,0.1595981154454528,0.0,0.875,extreme_abs_151_h3
