held_out_country,rows,events,event_rate,prevalence_group
Pakistan,11297,9269,0.8204833141542003,high
Bangladesh,10868,7466,0.686970923813029,high
Nigeria,10296,4021,0.3905400155400155,high
India,20449,7406,0.3621692992322363,high
Egypt,15158,5032,0.3319699168755772,high
Indonesia,13442,1568,0.1166493081386698,moderate
China,21879,2273,0.1038895744778097,moderate
Russia,12012,1231,0.1024808524808524,moderate
Mexico,12584,1206,0.0958359821996185,low
Brazil,12441,1135,0.0912306084719877,low
Ethiopia,10153,828,0.081552250566335,low
Vietnam,10868,838,0.0771071034228929,low
Turkey,10582,611,0.0577395577395577,low
Saudi Arabia,10725,135,0.0125874125874125,low
South Korea,12584,130,0.0103305785123966,low
Philippines,20306,142,0.0069930069930069,near_zero
South Africa,10725,61,0.0056876456876456,near_zero
Thailand,9867,51,0.005168744299179,near_zero
United States,27885,35,0.0012551551013089,near_zero
United Kingdom,10439,1,9.579461634256155e-05,near_zero
Australia,10439,1,9.579461634256155e-05,near_zero
Japan,22594,0,0.0,near_zero
Germany,10439,0,0.0,near_zero
France,11583,0,0.0,near_zero
