prevalence_group,model,model_family,countries,mean_event_rate,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_roc_auc,mean_pr_auc,median_pr_auc,mean_false_alarm_rate,mean_missed_event_rate
near_zero,random_forest,ensemble,9,0.0021440157015361694,0.6863223727510053,0.053375120540019264,0.04309045817459849,0.0304711957594795,0.8539889312315504,0.04075599606143225,0.041768963361536696,0.0037790460059211376,0.6235762084920682
near_zero,logistic_regression,linear,9,0.0021440157015361694,0.7226040522500499,0.018358721380111367,0.1271091673797203,0.02354121919410399,0.7551651923537817,0.026827227760408617,0.0285319676238086,0.015234396212953728,0.5395574992869463
near_zero,decision_tree,tree,9,0.0021440157015361694,0.7199903851675052,0.016933266168577488,0.1243829849341414,0.029263934385878154,0.7701562139407964,0.019930056007282,0.02230870236362525,0.017281315680455434,0.5422836817325253
near_zero,majority_class,baseline,9,0.0021440157015361694,0.6666666666666666,0.0,0.0,0.0,0.5,0.003216023552304254,0.00321194970024395,0.0,0.6666666666666666
low,random_forest,ensemble,7,0.06091192764288584,0.6792219771047833,0.3323500880812694,0.4073507193635744,0.3585733636872036,0.8291898921639739,0.32122115415146574,0.3549424764063571,0.04890676515400773,0.5926492806364256
low,logistic_regression,linear,7,0.06091192764288584,0.6903232770796839,0.2647200348681949,0.46238853988752976,0.32918905132661214,0.7985975174972023,0.3017358744338908,0.33959414186401,0.08174198572816187,0.5376114601124702
low,decision_tree,tree,7,0.06091192764288584,0.6835976647790363,0.1999707440794172,0.5046057438919574,0.28289061698871426,0.7414730132254019,0.25096451973319583,0.2988735008432613,0.13741041433388487,0.49539425610804255
low,majority_class,baseline,7,0.06091192764288584,0.5,0.0,0.0,0.0,0.5,0.06091192764288584,0.0771071034228929,0.0,1.0
moderate,logistic_regression,linear,3,0.10767324503244396,0.8000772384820182,0.40332797126776226,0.7451153503698954,0.5061082398517969,0.8577664000815245,0.5704018714446208,0.6255222740303814,0.14496087340585903,0.25488464963010454
moderate,random_forest,ensemble,3,0.10767324503244396,0.7843252698977423,0.40390809748071793,0.746758356663552,0.49224305982194627,0.8677026479240874,0.5606165485742274,0.5997979726077178,0.1781078168680674,0.25324164333644794
moderate,decision_tree,tree,3,0.10767324503244396,0.7473027544417223,0.30982664371690877,0.7423268712913135,0.41727802796877805,0.8313296585190352,0.5017025517448936,0.5407356453823026,0.24772136240786868,0.2576731287086866
moderate,majority_class,baseline,3,0.10767324503244396,0.5,0.0,0.0,0.0,0.5,0.10767324503244396,0.1038895744778097,0.0,1.0
high,random_forest,ensemble,5,0.5184266939230117,0.7444048338945701,0.7042016212952826,0.8857376114716502,0.7825331017819043,0.8607852255405053,0.8253258170535076,0.8929748760676951,0.3969279436825098,0.11426238852834988
high,logistic_regression,linear,5,0.5184266939230117,0.7277968243508424,0.6856559449156343,0.8921752091744931,0.7734328981980838,0.8571652715619305,0.8243603636344474,0.8818606549031621,0.4365815604728084,0.10782479082550674
high,decision_tree,tree,5,0.5184266939230117,0.7144273858648442,0.6697673280038494,0.9124161986279203,0.7659623312443712,0.8263297918372927,0.7994419904589067,0.843786959526193,0.4835614268982319,0.08758380137207958
high,majority_class,baseline,5,0.5184266939230117,0.5,0.0,0.0,0.0,0.5,0.5184266939230117,0.3905400155400155,0.0,1.0
