target_type,severity,split_name,model,h1_event_rate,h1_pr_auc,h1_recall,h1_f1,h1_precision,h3_event_rate,h3_pr_auc,h3_recall,h3_f1,h3_precision,delta_h1_minus_h3_event_rate,delta_h1_minus_h3_pr_auc,delta_h1_minus_h3_recall,delta_h1_minus_h3_f1,delta_h1_minus_h3_precision
absolute,151,random_split,random_forest,0.1317881196529337,0.8722038880195871,0.896255371393493,0.7454208947603549,0.6380421719654757,0.1314229451703555,0.8687633540042234,0.8816918994849383,0.7546086027250868,0.6595446584938705,0.0003651744825781955,0.0034405340153637054,0.01456347190855467,-0.009187707964731895,-0.021502486528394704
absolute,151,random_split,decision_tree,0.1317881196529337,0.8325564835047272,0.9106813996316758,0.6918099679393763,0.557759187893599,0.1314229451703555,0.8317143626206883,0.9090057749336664,0.6848139220412722,0.549330315034899,0.0003651744825781955,0.0008421208840388994,0.0016756246980094147,0.006996045898104097,0.008428872858699976
absolute,151,random_split,logistic_regression,0.1317881196529337,0.8177099931378403,0.8844383057090239,0.7034912109375,0.5840089177138225,0.1314229451703555,0.7456059896650364,0.8256594349929764,0.6371191135734072,0.5186783017942935,0.0003651744825781955,0.07210400347280388,0.05877887071604748,0.06637209736409277,0.06533061591952893
absolute,151,random_split,majority_class,0.1317881196529337,0.1317881196529337,0.0,0.0,0.0,0.1314229451703555,0.1314229451703555,0.0,0.0,0.0,0.0003651744825781955,0.0003651744825781955,0.0,0.0,0.0
absolute,151,temporal_split,random_forest,0.1331887201735357,0.879513667108691,0.9034131142897608,0.7580060602459747,0.6529170931422723,0.1304204111145542,0.8758893766753496,0.8891176936480278,0.7659661572052402,0.672779575692197,0.002768309058981483,0.0036242904333414483,0.014295420641732948,-0.007960096959265472,-0.01986248254992473
absolute,151,temporal_split,logistic_regression,0.1331887201735357,0.8313587565215789,0.8868432233394703,0.7251042149143122,0.6132602095779062,0.1304204111145542,0.7549591927985202,0.842071915095834,0.6523099576661144,0.5323452833967555,0.002768309058981483,0.07639956372305867,0.04477130824363629,0.07279425724819777,0.0809149261811507
absolute,151,temporal_split,decision_tree,0.1331887201735357,0.8291388626719886,0.9208327432375016,0.6997040624159269,0.5642138146476918,0.1304204111145542,0.8300461073472758,0.9146206241089816,0.6850160161347728,0.5475580844001897,0.002768309058981483,-0.0009072446752872443,0.006212119128520044,0.014688046281154055,0.01665573024750211
absolute,151,temporal_split,majority_class,0.1331887201735357,0.1331887201735357,0.0,0.0,0.0,0.1304204111145542,0.1304204111145542,0.0,0.0,0.0,0.002768309058981483,0.002768309058981483,0.0,0.0,0.0
absolute,201,random_split,random_forest,0.0416843638128754,0.8282730364650195,0.9243085880640466,0.6775742486217322,0.5348119034250421,0.0414965846854423,0.8071923442003702,0.9223924864063272,0.6850220264317181,0.5448175182481751,0.00018777912743309783,0.02108069226464926,0.0019161016577193823,-0.007447777809985845,-0.010005614823133002
absolute,201,random_split,decision_tree,0.0416843638128754,0.7679236209376159,0.9490538573508006,0.5802432512607535,0.4178594317453535,0.0414965846854423,0.7050622308360044,0.9485912011863568,0.5657429245283019,0.4030665826507036,0.00018777912743309783,0.06286139010161151,0.00046265616444385316,0.014500326732451607,0.014792849094649896
absolute,201,random_split,logistic_regression,0.0416843638128754,0.7547755074754294,0.9466278505579816,0.5637913596301113,0.401440329218107,0.0414965846854423,0.5786058196835512,0.9228868017795352,0.4970051910022627,0.3400728597449909,0.00018777912743309783,0.17616968779187825,0.023741048778446405,0.06678616862784859,0.06136746947311611
absolute,201,random_split,majority_class,0.0416843638128754,0.0416843638128754,0.0,0.0,0.0,0.0414965846854423,0.0414965846854423,0.0,0.0,0.0,0.00018777912743309783,0.00018777912743309783,0.0,0.0,0.0
absolute,201,temporal_split,random_forest,0.0413845138168442,0.82146446017947,0.9316317228805834,0.6768211920529801,0.531461258450338,0.0396446648073546,0.8113183320731278,0.9207920792079208,0.6842207163601162,0.544362292051756,0.0017398490094895983,0.01014612810634219,0.010839643672662547,-0.007399524307136085,-0.012901033601418033
absolute,201,temporal_split,logistic_regression,0.0413845138168442,0.7571198523753979,0.9471285323609844,0.5702524698133918,0.4079308990969768,0.0396446648073546,0.6092093175014994,0.93225638353309,0.4902713072074541,0.3325897006878602,0.0017398490094895983,0.1479105348738985,0.014872148827894338,0.07998116260593774,0.07534119840911657
absolute,201,temporal_split,decision_tree,0.0413845138168442,0.7558308947294651,0.9466727438468552,0.5704476792090085,0.4082154088050314,0.0396446648073546,0.6914121905932755,0.9265242313705054,0.5608832807570978,0.4021714544220764,0.0017398490094895983,0.06441870413618955,0.020148512476349745,0.009564398451910705,0.006043954382954964
absolute,201,temporal_split,majority_class,0.0413845138168442,0.0413845138168442,0.0,0.0,0.0,0.0396446648073546,0.0396446648073546,0.0,0.0,0.0,0.0017398490094895983,0.0017398490094895983,0.0,0.0,0.0
city_relative,p90,random_split,random_forest,0.1080840563881641,0.2994173212565937,0.4272080838323353,0.3655724579663731,0.3194794290512174,0.1076490738651514,0.3023822510313381,0.4542682926829268,0.370358862824297,0.3126147390506163,0.00043498252301268914,-0.002964929774744385,-0.027060208850591516,-0.004786404857923865,0.006864690000601081
