variable,count,mean,std,min,25%,50%,75%,max
PM2.5 (ug/m3),331920.0,36.57270196999497,46.67761542741509,0.0,13.3,21.77705183252135,39.4,800.0
PM10 (ug/m3),331920.0,73.71307585237616,93.93044007227964,0.0,23.69675638642658,40.04346501342719,82.22,1588.18
NO (ug/m3),331920.0,14.450911454778634,13.972065094861641,0.0,6.18,10.288868978490523,17.499504917945004,155.49650450147783
NO2 (ug/m3),331920.0,28.243756320287194,23.6877244961231,0.0,13.58,21.56,34.64,520.5061849335546
NOx (ppb),331920.0,29.250374474308845,24.750579643642872,0.0,13.92,22.43990745792763,36.146904980735016,325.90579943403804
NH3 (ug/m3),331920.0,10.240844015857949,9.791045071541864,0.0,4.37,7.418742299240622,12.151322560571701,91.55
CO (mg/m3),331920.0,1.0277345570977972,1.2123561458903054,0.0,0.39663334051478455,0.6433517550855629,1.16,15.0
SO2 (ug/m3),331920.0,10.998872702883872,25.432514554083195,0.0,3.5,6.16,11.74,1500.0
O3 (ug/m3),331920.0,45.234914664847,22.495661336208578,0.0,30.33428300825028,41.32,55.46765915871383,200.0
Benzene (ug/m3),331920.0,1.5776019004519721,1.993387504983582,0.0,0.55,1.01,1.7331614583813855,30.0
Toluene (ug/m3),331920.0,4.268308044922626,5.150911182758829,0.0,1.41,2.82,5.02,70.0
Xylene (ug/m3),331920.0,1.5626439742608713,1.7011173183750228,0.0,0.49,1.07,2.05,25.0
AQI,331920.0,85.83343878042902,60.7318974986283,4.0,51.0,70.0,98.0,672.0
Wind_Speed (km/h),331920.0,11.220078960492735,5.10108226985067,0.0,7.5,10.656284479958652,14.261050764764295,48.3
Humidity (%),331920.0,64.16793218860545,17.882845156149312,5.0,53.0,66.0,77.1,100.0
Deforestation_Rate_%,331920.0,0.5078460594882266,0.7153798267254529,0.0,0.022,0.213,0.683,8.154
Industry_Growth_%,331920.0,3.1058862220542403,2.2331899358757217,-4.2,1.3999720723459497,2.4325136313641456,4.6,11.999880893127632
CO2_Emission_MT,331920.0,37.653269880343686,67.10893739605002,-3.06,3.67,10.01,34.07,697.06
Population_Density_per_SqKm,331920.0,1213.072404172043,2945.9461690169333,1.0,133.4,429.7,1173.1484219164352,28242.658167161957
