target,model,regime,threshold,rows,events,predicted_alerts,tp,fp,fn,tn,precision,recall,f1,false_alarm_rate,false_alerts_per_100_city_months,alerts_per_100_city_months,missed_events_per_100_events
extreme_abs_151_h3,xgboost,country_class_balanced,0.0,325005,42715,325005,42715,282290,0,0,0.1314287472500423,1.0,0.23232350701620796,1.0,86.85712527499577,100.0,0.0
extreme_abs_151_h3,xgboost,country_class_balanced,0.01,325005,42715,216963,42608,174355,107,107935,0.19638371519567852,0.9974950251668032,0.3281602600143254,0.6176449750256828,53.64686697127736,66.75681912585961,0.2504974833196769
extreme_abs_151_h3,xgboost,country_class_balanced,0.02,325005,42715,188490,42441,146049,274,136241,0.22516313862804394,0.9935853915486363,0.36712873856534245,0.5173722058875624,44.93746250057691,57.99603083029492,0.6414608451363689
extreme_abs_151_h3,xgboost,country_class_balanced,0.03,325005,42715,169269,42233,127036,482,155254,0.24950227153229476,0.9887159077607398,0.3984546003471961,0.45001948350986576,39.0873986554053,52.08196796972354,1.1284092239260213
extreme_abs_151_h3,xgboost,country_class_balanced,0.04,325005,42715,155460,42062,113398,653,168892,0.27056477550495306,0.9847126302235748,0.42449350321685375,0.40170746395550677,34.8911555206843,47.83311025984216,1.5287369776425144
extreme_abs_151_h3,xgboost,country_class_balanced,0.05,325005,42715,144891,41881,103010,834,179280,0.2890517699512047,0.9804752428889149,0.4464782576250227,0.364908427503631,31.69489700158459,44.5811602898417,1.9524757111085098
extreme_abs_151_h3,xgboost,country_class_balanced,0.06,325005,42715,136413,41706,94707,1009,187583,0.3057333245365178,0.9763783214327519,0.465655843865839,0.3354954125190407,29.140167074352703,41.97258503715327,2.362167856724804
extreme_abs_151_h3,xgboost,country_class_balanced,0.07,325005,42715,129503,41562,87941,1153,194349,0.3209346501625445,0.9730071403488236,0.48266731700519117,0.31152715292784017,27.05835294841618,39.84646390055538,2.69928596511764
extreme_abs_151_h3,xgboost,country_class_balanced,0.08,325005,42715,123662,41431,82231,1284,200059,0.33503420614254986,0.9699403020016387,0.49803758933025594,0.2912997272308619,25.301456900663066,38.049260780603376,3.005969799836123
extreme_abs_151_h3,xgboost,country_class_balanced,0.09,325005,42715,118736,41266,77470,1449,204820,0.34754413151866326,0.9660774903429709,0.5111891533654174,0.2744340925998087,23.836556360671374,36.53359179089553,3.3922509657029147
