split_name,target,model,model_family,part,rows,events,event_rate,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,tn,fp,fn,tp,false_alarm_rate,missed_event_rate,roc_auc,pr_auc,held_out_country,random_pr_auc,random_f1,random_recall,random_precision,drop_random_to_loco_pr_auc,relative_drop_random_to_loco_pr_auc,drop_random_to_loco_f1,relative_drop_random_to_loco_f1,drop_random_to_loco_recall,relative_drop_random_to_loco_recall,drop_random_to_loco_precision,relative_drop_random_to_loco_precision
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,10439,1,9.579461634256155e-05,0.9997126161509724,0.4999041962061697,0.0,0.0,0.0,0.4999281437125748,10436,2,1,0,0.0001916075876604,1.0,0.5303219007472696,0.0001073076510355,Australia,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.8324491758536917,0.9998711106655686,0.6918099679393763,1.0,0.9106813996316758,1.0,0.557759187893599,1.0
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,10439,1,9.579461634256155e-05,0.9947312961011592,0.4974132975665836,0.0,0.0,0.0,0.4986793449550977,10384,54,1,0,0.0051734048668327,1.0,0.8819218241042346,0.0005763688760806,United Kingdom,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.8319801146286466,0.9993077119841115,0.6918099679393763,1.0,0.9106813996316758,1.0,0.557759187893599,1.0
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,27885,35,0.0012551551013089,0.993006993006993,0.5541985124390869,0.0238095238095238,0.1142857142857142,0.0394088669950738,0.5179497949530771,27686,164,31,4,0.0058886894075403,0.8857142857142857,0.7436665811746601,0.0078557849519697,United States,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.8247006985527575,0.9905642618757828,0.6524011009443025,0.9430351269547951,0.7963956853459616,0.8745052722808032,0.5339496640840752,0.9573121800118767
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,10725,135,0.0125874125874125,0.8422377622377623,0.5142429965376141,0.0149532710280373,0.1777777777777777,0.0275862068965517,0.4708707290190521,9009,1581,111,24,0.1492917847025495,0.8222222222222222,0.4905403420417584,0.0138194720814559,Saudi Arabia,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.8187370114232713,0.9834011597347948,0.6642237610428247,0.9601245888683566,0.7329036218538981,0.8047859791034716,0.5428059168655617,0.973190453241104
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,9867,51,0.005168744299179,0.9409141583054628,0.6777140562826598,0.0365853658536585,0.4117647058823529,0.0672,0.5183454079229682,9263,553,30,21,0.0563365933170334,0.5882352941176471,0.9255866772136728,0.0367616197752808,Thailand,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.7957948637294464,0.9558448940058346,0.6246099679393763,0.9028634984833165,0.4989166937493229,0.5478498780705406,0.5211738220399406,0.9344065205060545
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,10725,61,0.0056876456876456,0.9723076923076924,0.5948825833507557,0.049618320610687,0.2131147540983606,0.0804953560371517,0.533218757679673,10415,249,48,13,0.0233495873968492,0.7868852459016393,0.7039787610837134,0.0368677175803328,South Africa,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.7956887659243944,0.9557174578412572,0.6113146119022246,0.8836452786638576,0.6975666455333153,0.7659831921629732,0.508140867282912,0.9110398865896361
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,20306,142,0.0069930069930069,0.935585541219344,0.6598889109303709,0.0423861852433281,0.380281690140845,0.0762711864406779,0.5214502171615575,18944,1220,88,54,0.0605038682801031,0.6197183098591549,0.8354615393212279,0.0374115372089926,Philippines,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.7951449462957346,0.9550642653679122,0.6155387814986985,0.8897512467652655,0.5303997094908308,0.5824207123428132,0.515373002650271,0.9240062984826817
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,12584,130,0.0103305785123966,0.9671010807374444,0.5951662116589047,0.0823529411764705,0.2153846153846154,0.1191489361702127,0.551193222640131,12142,312,102,28,0.0250521920668058,0.7846153846153846,0.7228116391397265,0.0459365285556331,South Korea,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.7866199549490941,0.9448247302546262,0.5726610317691636,0.8277721604314123,0.6952967842470604,0.7634907054522828,0.4754062467171285,0.8523503638057853
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,10582,611,0.0577395577395577,0.8429408429408429,0.6669981243478428,0.1762168823166974,0.4680851063829787,0.2560429722470904,0.5841229124309937,8634,1337,325,286,0.1340888576872931,0.5319148936170213,0.7516463045614608,0.1762409904157634,Turkey,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.6563154930889639,0.7883134731305439,0.43576699569228594,0.6298940690176242,0.44259629324869715,0.4860056364692468,0.3815423055769016,0.6840627888494534
leave_one_country_out,extreme_abs_151_h1,decision_tree,tree,test,13442,1568,0.1166493081386698,0.7865644993304568,0.6417222459979444,0.260933480338111,0.4528061224489796,0.3310795057122872,0.6020522556222423,9863,2011,858,710,0.1693616304530908,0.5471938775510204,0.6669920431537951,0.2360157723270568,Indonesia,0.8325564835047272,0.6918099679393763,0.9106813996316758,0.557759187893599,0.5965407111776704,0.7165168045613848,0.3607304622270891,0.52142998647672,0.4578752771826962,0.5027831658446998,0.29682570755548804,0.5321753796229924
