target,group,importance_sum,importance_mean,n_features
extreme_abs_151_h1,current_pollutant,0.2791828700472713,0.023265239170605943,12
extreme_abs_151_h1,rolling,0.26196903429923846,0.018712073878517033,14
extreme_abs_151_h1,lag,0.1547054858101725,0.00859474921167625,18
extreme_abs_151_h1,current_aqi,0.13337931014496318,0.13337931014496318,1
extreme_abs_151_h1,interaction,0.10148543888487699,0.0202970877769754,5
extreme_abs_151_h1,calendar,0.034203014971120424,0.004275376871390053,8
extreme_abs_151_h1,current_socio_environmental,0.03045285630791913,0.007613214076979783,4
extreme_abs_151_h1,current_meteorology,0.0046219895344380224,0.0023109947672190112,2
extreme_abs_151_h3,rolling,0.3531790897466292,0.02522707783904494,14
extreme_abs_151_h3,current_pollutant,0.19805186386153065,0.01650432198846089,12
extreme_abs_151_h3,lag,0.17456644882436487,0.009698136045798049,18
extreme_abs_151_h3,interaction,0.08325858813654698,0.016651717627309395,5
extreme_abs_151_h3,calendar,0.06800471147289433,0.008500588934111791,8
extreme_abs_151_h3,current_socio_environmental,0.0661455223125467,0.016536380578136674,4
extreme_abs_151_h3,current_aqi,0.048005364458595275,0.048005364458595275,1
extreme_abs_151_h3,current_meteorology,0.008788411186892097,0.004394205593446048,2
