feature,group,extreme_abs_151_h1,extreme_abs_151_h3,delta_h3_minus_h1_importance
AQI,current_aqi,0.13337931014496318,0.048005364458595275,-0.08537394568636791
AQI_delta_1,rolling,0.00443982941780243,0.0020768333855568813,-0.0023629960322455487
AQI_lag_1,lag,0.02135940434068629,0.010138328212832904,-0.011221076127853386
AQI_lag_12,lag,0.04423483195712186,0.009605606666498104,-0.03462922529062376
AQI_lag_2,lag,0.002389378408109534,0.0028748963181460105,0.0004855179100364763
AQI_lag_3,lag,0.0016198706467022838,0.009101192231435368,0.007481321584733085
AQI_lag_6,lag,0.005090332986542615,0.03753838885560505,0.03244805586906244
AQI_roll_max_3,rolling,0.011195529156951285,0.011623097891164263,0.0004275687342129783
AQI_roll_max_6,rolling,0.058480164541980253,0.07381366726109917,0.015333502719118916
AQI_roll_mean_3,rolling,0.02342156177998994,0.020846981376064486,-0.0025745804039254555
AQI_roll_mean_6,rolling,0.034517351261610964,0.09290136579934648,0.058384014537735514
AQI_roll_std_3,rolling,0.0016392028252046123,0.0021113982462582994,0.00047219542105368705
AQI_roll_std_6,rolling,0.002473436835836024,0.00454080396161935,0.0020673671257833257
AQI_trend_3,rolling,0.004208428294304001,0.002422930568903527,-0.0017854977254004737
Benzene (ug/m3),current_pollutant,0.006543681989222836,0.00928210446556816,0.002738422476345324
CO (mg/m3),current_pollutant,0.05257330711457721,0.026014700967601376,-0.026558606146975833
CO2_Emission_MT,current_socio_environmental,0.010359253626441961,0.020679660593553254,0.010320406967111293
CO_lag_1,lag,0.006495601658944785,0.0036663339647304673,-0.002829267694214318
Deforestation_Rate_%,current_socio_environmental,0.007606357775663565,0.017356302707663675,0.009749944932000109
Deforestation_Rate_lag_1,lag,0.008163069552792066,0.016719612533762813,0.008556542980970748
Humidity (%),current_meteorology,0.0028116885510660714,0.005810198734452343,0.0029985101833862713
Humidity_lag_1,lag,0.0037798980361495667,0.014857497071137364,0.011077599034987798
Industry_Growth_%,current_socio_environmental,0.003432660007594243,0.005372323623701084,0.0019396636161068408
NH3 (ug/m3),current_pollutant,0.019345102136316152,0.017864920777835778,-0.0014801813584803744
NO (ug/m3),current_pollutant,0.006579807253220794,0.005277415228887028,-0.0013023920243337662
NO2 (ug/m3),current_pollutant,0.009026980647269664,0.0058387484376788545,-0.003188232209590809
NO2_lag_1,lag,0.0029044198233003,0.004038652914665172,0.001134233091364872
NOx (ppb),current_pollutant,0.005361383977370612,0.0039223917625418854,-0.001438992214828727
O3 (ug/m3),current_pollutant,0.0027943376970991727,0.0032751939160265966,0.0004808562189274239
O3_lag_1,lag,0.002039285326525016,0.004084641965449723,0.002045356638924707
PM10 (ug/m3),current_pollutant,0.06410968536653872,0.045516052049797584,-0.01859363331674113
PM10_lag_1,lag,0.0275359579239275,0.014405084168796508,-0.013130873755130992
PM10_lag_2,lag,0.00212586141860738,0.012457799715893853,0.010331938297286474
PM10_lag_3,lag,0.0029675386566179298,0.008912838373328453,0.005945299716710523
PM10_roll_max_3,rolling,0.022607667104090217,0.02926916927764054,0.006661502173550323
PM10_roll_mean_3,rolling,0.024285730594804197,0.03131509941332755,0.007029368818523354
PM10_roll_std_3,rolling,0.0023769073439448654,0.002914093168760475,0.0005371858248156098
PM2.5 (ug/m3),current_pollutant,0.09302446525372589,0.05297092575857064,-0.04005353949515525
PM25_PM10_ratio,interaction,0.004785983159711538,0.003913843211999114,-0.0008721399477124242
PM25_lag_1,lag,0.012431012408058549,0.006874387938703954,-0.005556624469354595
PM25_lag_2,lag,0.005413296111945498,0.008847448984714228,0.00343415287276873
PM25_lag_3,lag,0.0018572817865043247,0.00309315682939065,0.0012358750428863253
PM25_roll_max_3,rolling,0.020651574422177566,0.02679644006847379,0.006144865646296224
PM25_roll_mean_3,rolling,0.05005564130109799,0.050146197188991805,9.055588789381314e-05
PM25_roll_std_3,rolling,0.0016160094194440958,0.0024010121394225886,0.0007850027199784928
Population_Density_per_SqKm,current_socio_environmental,0.009054584898219363,0.02273723538762868,0.013682650489409318
SO2 (ug/m3),current_pollutant,0.005383496957137841,0.012545218358888362,0.007161721401750521
SO2_lag_1,lag,0.0023619080262256968,0.0039593543869271145,0.0015974463607014177
Toluene (ug/m3),current_pollutant,0.010115908496859968,0.009256703964399305,-0.0008592045324606629
Wind_Speed (km/h),current_meteorology,0.0018103009833719509,0.0029782124524397537,0.0011679114690678028
Wind_Speed_lag_1,lag,0.0019365367414112995,0.0033912276923471346,0.001454690950935835
Xylene (ug/m3),current_pollutant,0.004324713157932477,0.006287488173735085,0.0019627750158026083
deforestation_aug_oct,interaction,0.005072163209369571,0.011446376573745561,0.0063742133643759896
humidity_PM25,interaction,0.06288849405714417,0.04657903919198006,-0.016309454865164108
industry_NO2,interaction,0.007019533919691819,0.00822832035383745,0.0012087864341456308
is_aug_oct,calendar,0.0024330272824915084,0.006175440914550466,0.0037424136320589572
is_dec_feb,calendar,0.0008562364125440354,0.003208084417470569,0.0023518480049265333
low_wind_PM25,interaction,0.021719264538959893,0.013091008804984797,-0.008628255733975096
month,calendar,0.009350765786072527,0.018815872601836817,0.00946510681576429
month_cos,calendar,0.006461723280746913,0.011348224994430018,0.004886501713683105
month_sin,calendar,0.008937325925287485,0.013161695021084309,0.004224369095796824
quarter,calendar,0.0039106147962673496,0.012520430404004568,0.008609815607737218
time_index_months,calendar,0.00162812838977419,0.0019902308094541894,0.0003621024196799993
year,calendar,0.0006251930979364144,0.0007847323100633978,0.0001595392121269834
