target,group,permutation_importance_sum,permutation_importance_mean,n_features
extreme_abs_151_h1,current_pollutant,0.043510619849377256,0.003625884987448105,12
extreme_abs_151_h1,current_aqi,0.03999937625365253,0.03999937625365253,1
extreme_abs_151_h1,rolling,0.03592694629386626,0.0025662104495618758,14
extreme_abs_151_h1,lag,0.02685202472517991,0.001491779151398884,18
extreme_abs_151_h1,calendar,0.025648612196975007,0.003206076524621876,8
extreme_abs_151_h1,current_socio_environmental,0.019980055355930816,0.004995013838982704,4
extreme_abs_151_h1,interaction,0.01056713815047634,0.002113427630095268,5
extreme_abs_151_h1,current_meteorology,0.0006900564438460987,0.00034502822192304937,2
extreme_abs_151_h3,calendar,0.08092794035739855,0.010115992544674818,8
extreme_abs_151_h3,rolling,0.07819336209272247,0.0055852401494801765,14
extreme_abs_151_h3,lag,0.055711599958965664,0.0030950888866092038,18
extreme_abs_151_h3,current_socio_environmental,0.03863492077880706,0.009658730194701764,4
extreme_abs_151_h3,current_pollutant,0.034965216457641765,0.0029137680381368138,12
extreme_abs_151_h3,current_aqi,0.027206071141000154,0.027206071141000154,1
extreme_abs_151_h3,interaction,0.022485158330807133,0.004497031666161427,5
extreme_abs_151_h3,current_meteorology,0.002028857142337781,0.0010144285711688906,2
