feature,group,extreme_abs_151_h1,extreme_abs_151_h3,delta_h3_minus_h1_permutation
AQI,current_aqi,0.03999937625365253,0.027206071141000154,-0.012793305112652378
AQI_delta_1,rolling,-0.0003398929766310177,0.00026157559941710764,0.0006014685760481254
AQI_lag_1,lag,0.005030690027375861,0.0016997779627195176,-0.0033309120646563438
AQI_lag_12,lag,0.008729127594210961,0.0013395682629030014,-0.00738955933130796
AQI_lag_2,lag,0.0003021020956523346,-0.0005687255415877113,-0.0008708276372400459
AQI_lag_3,lag,0.00014457278110824312,0.0007442181315951534,0.0005996453504869103
AQI_lag_6,lag,0.004158757756377663,0.026476838310562266,0.022318080554184605
AQI_roll_max_3,rolling,0.0011892088768980624,3.0319297987846382e-05,-0.001158889578910216
AQI_roll_max_6,rolling,0.0066656195399183325,0.01124380870277506,0.004578189162856727
AQI_roll_mean_3,rolling,0.004336255712907189,0.00349904826023395,-0.0008372074526732387
AQI_roll_mean_6,rolling,0.01633412443304918,0.04964501490535937,0.033310890472310194
AQI_roll_std_3,rolling,8.782302647780682e-06,7.277986975899875e-05,6.399756711121807e-05
AQI_roll_std_6,rolling,0.00033376662072168715,0.0013423704394529556,0.0010086038187312684
AQI_trend_3,rolling,-0.00014536038016401686,0.00038379915113249117,0.0005291595312965081
Benzene (ug/m3),current_pollutant,0.0018259762926346346,0.0018253252017291777,-6.510909054569403e-07
CO (mg/m3),current_pollutant,0.005838749094677564,0.002162895433714107,-0.0036758536609634573
CO2_Emission_MT,current_socio_environmental,0.01345327054051415,0.019680735245517656,0.0062274647050035055
CO_lag_1,lag,9.102926796973332e-05,0.0002762896786172586,0.0001852604106475253
Deforestation_Rate_%,current_socio_environmental,0.0017755730720440787,0.007309789834659819,0.00553421676261574
Deforestation_Rate_lag_1,lag,0.0024317917392113085,0.006926309653648,0.004494517914436691
Humidity (%),current_meteorology,0.0004969170106396525,0.001357196706932906,0.0008602796962932536
Humidity_lag_1,lag,0.0008452309697387639,0.006908265091473131,0.0060630341217343675
Industry_Growth_%,current_socio_environmental,0.00079358323429779,0.0014404452319130457,0.0006468619976152557
NH3 (ug/m3),current_pollutant,0.004915720195382134,0.004175723060015857,-0.0007399971353662773
NO (ug/m3),current_pollutant,0.0015593020027082182,0.0023073435781478134,0.0007480415754395951
NO2 (ug/m3),current_pollutant,0.004709215058013605,0.0020785422984761492,-0.002630672759537456
NO2_lag_1,lag,0.000377511523953622,0.0004198696429157156,4.2358118962093584e-05
NOx (ppb),current_pollutant,0.002209082889285252,0.00046993609347356635,-0.0017391467958116857
O3 (ug/m3),current_pollutant,0.0006139929793947729,0.0008437689318656183,0.00022977595247084535
O3_lag_1,lag,0.00010259408581307916,0.0011484584578201895,0.0010458643720071103
PM10 (ug/m3),current_pollutant,0.011513106632151127,0.009029458866913887,-0.00248364776523724
PM10_lag_1,lag,0.001708496315247321,0.001289366133477543,-0.00041913018176977803
PM10_lag_2,lag,0.0002183346989690804,0.0006689255235579506,0.0004505908245888702
PM10_lag_3,lag,0.0004959634394759993,0.004507247374066825,0.004011283934590826
PM10_roll_max_3,rolling,0.001515210086001928,0.00200682113503754,0.000491611049035612
PM10_roll_mean_3,rolling,0.0021497512379073493,0.003826956533943404,0.0016772052960360548
PM10_roll_std_3,rolling,0.0001713725830468027,0.00016843941217132842,-2.933170875474273e-06
PM2.5 (ug/m3),current_pollutant,0.006038794899464706,0.0057841681544310575,-0.0002546267450336485
PM25_PM10_ratio,interaction,0.0018958399572037044,0.0008722243423891606,-0.0010236156148145437
PM25_lag_1,lag,0.0008450934563340118,0.000625863382145786,-0.00021923007418822582
PM25_lag_2,lag,0.0003007726947402478,9.73532983311598e-05,-0.000203419396409088
PM25_lag_3,lag,0.000405450413458075,0.0016766417665467382,0.0012711913530886632
PM25_roll_max_3,rolling,0.0011651709734081805,0.0020641133501940966,0.0008989423767859161
PM25_roll_mean_3,rolling,0.002370597823348919,0.0037712882375630754,0.0014006904142141565
PM25_roll_std_3,rolling,0.00017233946080588147,-0.00012297280230475494,-0.0002953122631106364
Population_Density_per_SqKm,current_socio_environmental,0.003957628509074796,0.010203950466716539,0.006246321957641743
SO2 (ug/m3),current_pollutant,0.0013324306595312806,0.002995191309643963,0.0016627606501126825
SO2_lag_1,lag,0.00032180850757048687,0.0005144980495048523,0.00019268954193436545
Toluene (ug/m3),current_pollutant,0.0023558761395563897,0.0023139058536626677,-4.1970285893722006e-05
Wind_Speed (km/h),current_meteorology,0.00019313943320644622,0.0006716604354048749,0.0004785210021984287
Wind_Speed_lag_1,lag,0.00034269735797312075,0.0009608347806682848,0.0006181374226951641
Xylene (ug/m3),current_pollutant,0.0005983730065775683,0.000978957675567904,0.0003805846689903358
deforestation_aug_oct,interaction,0.00306863682984293,0.010839829767414178,0.007771192937571248
humidity_PM25,interaction,0.002629347878405808,0.006875458196743622,0.004246110318337814
industry_NO2,interaction,0.0005237113453723686,0.0020743814461336553,0.0015506701007612868
is_aug_oct,calendar,0.0022639102070208805,0.004800106144150362,0.0025361959371294814
is_dec_feb,calendar,0.000141643024539162,0.0024485957800681967,0.002306952755529035
low_wind_PM25,interaction,0.00244960213965153,0.0018232645781265156,-0.0006263375615250142
month,calendar,0.008476809529280826,0.02641430916702594,0.017937499637745113
month_cos,calendar,0.006709606935467227,0.007337231876898764,0.0006276249414315371
month_sin,calendar,0.005544404901847755,0.023548171500304794,0.01800376659845704
quarter,calendar,0.002512237598819156,0.016379525888950485,0.013867288290131329
time_index_months,calendar,0.0,0.0,0.0
year,calendar,0.0,0.0,0.0
