Country,target,valid_rows,events,non_events,prevalence
Australia,extreme_abs_151_h1,10439,1,10438,9.579461634256155e-05
Australia,extreme_abs_201_h1,10439,0,10439,0.0
Australia,extreme_city_p90_h1,10439,1201,9238,0.11504933422741642
Australia,extreme_city_p95_h1,10439,684,9755,0.0655235175783121
Australia,extreme_abs_151_h3,10293,1,10292,9.71534052268532e-05
Australia,extreme_abs_201_h3,10293,0,10293,0.0
Australia,extreme_city_p90_h3,10293,1176,9117,0.11425240454677936
Australia,extreme_city_p95_h3,10293,668,9625,0.06489847469153794
Bangladesh,extreme_abs_151_h1,10868,7466,3402,0.686970923813029
Bangladesh,extreme_abs_201_h1,10868,2727,8141,0.25092013249907985
Bangladesh,extreme_city_p90_h1,10868,1148,9720,0.10563121089436879
Bangladesh,extreme_city_p95_h1,10868,629,10239,0.057876334192123666
Bangladesh,extreme_abs_151_h3,10716,7331,3385,0.6841172079134005
Bangladesh,extreme_abs_201_h3,10716,2660,8056,0.24822695035460993
Bangladesh,extreme_city_p90_h3,10716,1126,9590,0.10507652108995894
Bangladesh,extreme_city_p95_h3,10716,621,10095,0.05795072788353863
Brazil,extreme_abs_151_h1,12441,1135,11306,0.09123060847198779
Brazil,extreme_abs_201_h1,12441,265,12176,0.02130053854191785
Brazil,extreme_city_p90_h1,12441,1353,11088,0.10875331564986737
Brazil,extreme_city_p95_h1,12441,736,11705,0.059159231573024676
Brazil,extreme_abs_151_h3,12267,1135,11132,0.0925246596559876
Brazil,extreme_abs_201_h3,12267,265,12002,0.02160267384038477
Brazil,extreme_city_p90_h3,12267,1349,10918,0.10996983777614738
Brazil,extreme_city_p95_h3,12267,734,11533,0.05983533056166952
China,extreme_abs_151_h1,21879,2273,19606,0.10388957447780978
China,extreme_abs_201_h1,21879,847,21032,0.038712921065862244
China,extreme_city_p90_h1,21879,2274,19605,0.10393528040586864
China,extreme_city_p95_h1,21879,1209,20670,0.05525846702317291
China,extreme_abs_151_h3,21573,2215,19358,0.10267463959579104
China,extreme_abs_201_h3,21573,825,20748,0.03824224725351134
China,extreme_city_p90_h3,21573,2215,19358,0.10267463959579104
China,extreme_city_p95_h3,21573,1180,20393,0.054698002132295
Egypt,extreme_abs_151_h1,15158,5032,10126,0.33196991687557725
Egypt,extreme_abs_201_h1,15158,16,15142,0.001055548225359546
Egypt,extreme_city_p90_h1,15158,1661,13497,0.10957910014513789
Egypt,extreme_city_p95_h1,15158,896,14262,0.059110700620134585
Egypt,extreme_abs_151_h3,14946,4966,9980,0.33226281279272046
Egypt,extreme_abs_201_h3,14946,16,14930,0.001070520540612873
Egypt,extreme_city_p90_h3,14946,1641,13305,0.10979526294660778
Egypt,extreme_city_p95_h3,14946,883,14063,0.05907935233507293
Ethiopia,extreme_abs_151_h1,10153,828,9325,0.08155225056633507
Ethiopia,extreme_abs_201_h1,10153,30,10123,0.0029547916871860533
Ethiopia,extreme_city_p90_h1,10153,1096,9057,0.10794838963853048
Ethiopia,extreme_city_p95_h1,10153,585,9568,0.05761843790012804
Ethiopia,extreme_abs_151_h3,10011,797,9214,0.07961242633103587
Ethiopia,extreme_abs_201_h3,10011,28,9983,0.002796923384277295
Ethiopia,extreme_city_p90_h3,10011,1057,8954,0.10558385775646789
Ethiopia,extreme_city_p95_h3,10011,562,9449,0.05613824792727999
France,extreme_abs_151_h1,11583,0,11583,0.0
France,extreme_abs_201_h1,11583,0,11583,0.0
France,extreme_city_p90_h1,11583,1295,10288,0.11180177846844513
France,extreme_city_p95_h1,11583,727,10856,0.06276439609772944
France,extreme_abs_151_h3,11421,0,11421,0.0
France,extreme_abs_201_h3,11421,0,11421,0.0
France,extreme_city_p90_h3,11421,1274,10147,0.1115489011470099
France,extreme_city_p95_h3,11421,714,10707,0.0625164171263462
Germany,extreme_abs_151_h1,10439,0,10439,0.0
Germany,extreme_abs_201_h1,10439,0,10439,0.0
Germany,extreme_city_p90_h1,10439,1155,9284,0.11064278187565858
Germany,extreme_city_p95_h1,10439,649,9790,0.06217070600632244
Germany,extreme_abs_151_h3,10293,0,10293,0.0
Germany,extreme_abs_201_h3,10293,0,10293,0.0
Germany,extreme_city_p90_h3,10293,1135,9158,0.11026911493247839
Germany,extreme_city_p95_h3,10293,639,9654,0.0620810259399592
India,extreme_abs_151_h1,20449,7406,13043,0.3621692992322363
India,extreme_abs_201_h1,20449,5782,14667,0.2827522128221429
India,extreme_city_p90_h1,20449,2128,18321,0.10406376839943274
India,extreme_city_p95_h1,20449,1143,19306,0.0558951537972517
India,extreme_abs_151_h3,20163,7276,12887,0.3608589991568715
India,extreme_abs_201_h3,20163,5672,14491,0.28130734513713235
India,extreme_city_p90_h3,20163,2103,18060,0.10429995536378515
India,extreme_city_p95_h3,20163,1137,19026,0.056390418092545753
Indonesia,extreme_abs_151_h1,13442,1568,11874,0.11664930813866985
Indonesia,extreme_abs_201_h1,13442,389,13053,0.028939145960422557
Indonesia,extreme_city_p90_h1,13442,1421,12021,0.10571343550066954
Indonesia,extreme_city_p95_h1,13442,764,12678,0.05683678024103556
Indonesia,extreme_abs_151_h3,13254,1568,11686,0.11830390825411197
Indonesia,extreme_abs_201_h3,13254,389,12865,0.029349630300286707
Indonesia,extreme_city_p90_h3,13254,1421,11833,0.10721291685528897
Indonesia,extreme_city_p95_h3,13254,764,12490,0.057642975705447415
Japan,extreme_abs_151_h1,22594,0,22594,0.0
Japan,extreme_abs_201_h1,22594,0,22594,0.0
Japan,extreme_city_p90_h1,22594,2446,20148,0.10825882977781712
Japan,extreme_city_p95_h1,22594,1329,21265,0.05882092590953351
Japan,extreme_abs_151_h3,22278,0,22278,0.0
Japan,extreme_abs_201_h3,22278,0,22278,0.0
Japan,extreme_city_p90_h3,22278,2364,19914,0.10611365472663614
Japan,extreme_city_p95_h3,22278,1286,20992,0.05772510997396535
Mexico,extreme_abs_151_h1,12584,1206,11378,0.09583598219961856
Mexico,extreme_abs_201_h1,12584,35,12549,0.0027813095994914175
Mexico,extreme_city_p90_h1,12584,1351,11233,0.10735855054036872
Mexico,extreme_city_p95_h1,12584,718,11866,0.057056579783852514
Mexico,extreme_abs_151_h3,12408,1178,11230,0.09493874919406835
Mexico,extreme_abs_201_h3,12408,32,12376,0.0025789813023855577
Mexico,extreme_city_p90_h3,12408,1334,11074,0.10751128304319793
Mexico,extreme_city_p95_h3,12408,707,11701,0.05697936814958091
Nigeria,extreme_abs_151_h1,10296,4021,6275,0.39054001554001555
Nigeria,extreme_abs_201_h1,10296,689,9607,0.06691919191919192
Nigeria,extreme_city_p90_h1,10296,1086,9210,0.10547785547785547
Nigeria,extreme_city_p95_h1,10296,598,9698,0.05808080808080808
Nigeria,extreme_abs_151_h3,10152,3938,6214,0.3879038613081166
Nigeria,extreme_abs_201_h3,10152,677,9475,0.06668636721828211
Nigeria,extreme_city_p90_h3,10152,1080,9072,0.10638297872340426
Nigeria,extreme_city_p95_h3,10152,596,9556,0.058707643814026794
Pakistan,extreme_abs_151_h1,11297,9269,2028,0.8204833141542003
Pakistan,extreme_abs_201_h1,11297,2607,8690,0.23076923076923078
Pakistan,extreme_city_p90_h1,11297,1173,10124,0.10383287598477473
Pakistan,extreme_city_p95_h1,11297,642,10655,0.05682924670266443
Pakistan,extreme_abs_151_h3,11139,9129,2010,0.8195529221653649
Pakistan,extreme_abs_201_h3,11139,2579,8560,0.23152886255498697
Pakistan,extreme_city_p90_h3,11139,1171,9968,0.10512613340515306
Pakistan,extreme_city_p95_h3,11139,642,10497,0.05763533530837597
Philippines,extreme_abs_151_h1,20306,142,20164,0.006993006993006993
Philippines,extreme_abs_201_h1,20306,0,20306,0.0
Philippines,extreme_city_p90_h1,20306,2192,18114,0.10794838963853048
Philippines,extreme_city_p95_h1,20306,1153,19153,0.056781246922091994
Philippines,extreme_abs_151_h3,20022,138,19884,0.0068924183398261915
Philippines,extreme_abs_201_h3,20022,0,20022,0.0
Philippines,extreme_city_p90_h3,20022,2142,17880,0.10698231944860653
Philippines,extreme_city_p95_h3,20022,1130,18892,0.05643791828988113
Russia,extreme_abs_151_h1,12012,1231,10781,0.10248085248085248
Russia,extreme_abs_201_h1,12012,348,11664,0.028971028971028972
Russia,extreme_city_p90_h1,12012,1273,10739,0.10597735597735598
Russia,extreme_city_p95_h1,12012,671,11341,0.055860805860805864
Russia,extreme_abs_151_h3,11844,1213,10631,0.10241472475515029
Russia,extreme_abs_201_h3,11844,339,11505,0.028622087132725432
Russia,extreme_city_p90_h3,11844,1253,10591,0.1057919621749409
Russia,extreme_city_p95_h3,11844,665,11179,0.05614657210401891
Saudi Arabia,extreme_abs_151_h1,10725,135,10590,0.012587412587412588
Saudi Arabia,extreme_abs_201_h1,10725,0,10725,0.0
Saudi Arabia,extreme_city_p90_h1,10725,1140,9585,0.1062937062937063
Saudi Arabia,extreme_city_p95_h1,10725,618,10107,0.057622377622377624
Saudi Arabia,extreme_abs_151_h3,10575,134,10441,0.012671394799054374
Saudi Arabia,extreme_abs_201_h3,10575,0,10575,0.0
Saudi Arabia,extreme_city_p90_h3,10575,1125,9450,0.10638297872340426
Saudi Arabia,extreme_city_p95_h3,10575,613,9962,0.05796690307328605
South Africa,extreme_abs_151_h1,10725,61,10664,0.005687645687645688
South Africa,extreme_abs_201_h1,10725,0,10725,0.0
South Africa,extreme_city_p90_h1,10725,1185,9540,0.11048951048951049
South Africa,extreme_city_p95_h1,10725,661,10064,0.06163170163170163
South Africa,extreme_abs_151_h3,10575,61,10514,0.005768321513002364
South Africa,extreme_abs_201_h3,10575,0,10575,0.0
South Africa,extreme_city_p90_h3,10575,1175,9400,0.1111111111111111
South Africa,extreme_city_p95_h3,10575,658,9917,0.06222222222222222
South Korea,extreme_abs_151_h1,12584,130,12454,0.010330578512396695
South Korea,extreme_abs_201_h1,12584,0,12584,0.0
South Korea,extreme_city_p90_h1,12584,1350,11234,0.10727908455181183
South Korea,extreme_city_p95_h1,12584,714,11870,0.05673871582962492
South Korea,extreme_abs_151_h3,12408,127,12281,0.010235332043842683
South Korea,extreme_abs_201_h3,12408,0,12408,0.0
South Korea,extreme_city_p90_h3,12408,1310,11098,0.10557704706640877
South Korea,extreme_city_p95_h3,12408,691,11717,0.055689877498388135
Thailand,extreme_abs_151_h1,9867,51,9816,0.005168744299179082
Thailand,extreme_abs_201_h1,9867,0,9867,0.0
Thailand,extreme_city_p90_h1,9867,1108,8759,0.11229350359785142
Thailand,extreme_city_p95_h1,9867,626,9241,0.06344380257423736
Thailand,extreme_abs_151_h3,9729,51,9678,0.005242059821153253
Thailand,extreme_abs_201_h3,9729,0,9729,0.0
Thailand,extreme_city_p90_h3,9729,1090,8639,0.11203618049131463
Thailand,extreme_city_p95_h3,9729,617,9112,0.06341864528728544
Turkey,extreme_abs_151_h1,10582,611,9971,0.05773955773955774
Turkey,extreme_abs_201_h1,10582,0,10582,0.0
Turkey,extreme_city_p90_h1,10582,1141,9441,0.10782460782460783
Turkey,extreme_city_p95_h1,10582,618,9964,0.0584010584010584
Turkey,extreme_abs_151_h3,10434,600,9834,0.05750431282346176
Turkey,extreme_abs_201_h3,10434,0,10434,0.0
Turkey,extreme_city_p90_h3,10434,1105,9329,0.10590377611654207
Turkey,extreme_city_p95_h3,10434,600,9834,0.05750431282346176
United Kingdom,extreme_abs_151_h1,10439,1,10438,9.579461634256155e-05
United Kingdom,extreme_abs_201_h1,10439,0,10439,0.0
United Kingdom,extreme_city_p90_h1,10439,1172,9267,0.11227129035348213
