dataset,Pollutant,raw_rows,numeric_rows,negative_rows,non_negative_rows,missing_date_rows
openaq,BC,100,100,2,98,0
openaq,CO,4570,4570,23,4547,0
openaq,NO,2020,2020,124,1896,0
openaq,NO2,7613,7613,92,7521,0
openaq,NOX,565,565,5,560,0
openaq,O3,7748,7748,28,7720,0
openaq,PM1,4,4,0,4,0
openaq,PM10,7225,7225,46,7179,0
openaq,PM2.5,7846,7846,160,7686,0
openaq,SO2,5759,5759,117,5642,0
waqd2024,BC,135,135,2,133,0
waqd2024,CO,5074,5074,20,5054,0
waqd2024,NO,3863,3863,91,3772,0
waqd2024,NO2,9942,9942,88,9854,0
waqd2024,NOX,2015,2015,6,2009,0
waqd2024,O3,8350,8350,31,8319,0
waqd2024,PM1,124,124,0,124,0
waqd2024,PM10,8050,8050,45,8005,0
waqd2024,PM2.5,9547,9547,149,9398,0
waqd2024,RELATIVEHUMIDITY,66,66,0,66,0
waqd2024,SO2,6907,6907,116,6791,0
waqd2024,TEMPERATURE,117,117,6,111,0
waqd2024,UM003,65,65,0,65,0
