dataset,Country,country_months,min_month,max_month,total_records,mean_records_per_month,mean_observed_pollutants,months_with_pm25,months_with_pm10
openaq,United States,89,2014-03-01,2023-05-01,5475,61.51685393258427,4.393258426966292,87,58
openaq,China,32,2018-08-01,2023-08-01,11110,347.1875,5.34375,31,28
openaq,France,58,2016-11-01,2023-08-01,1528,26.344827586206897,3.4482758620689653,27,39
openaq,Australia,37,2018-01-01,2023-08-01,628,16.972972972972972,2.5945945945945947,27,19
openaq,India,35,2016-03-01,2023-08-01,2360,67.42857142857143,4.057142857142857,27,23
openaq,South Africa,26,2017-09-01,2023-05-01,1317,50.65384615384615,4.346153846153846,19,22
openaq,Canada,43,2016-03-01,2023-08-01,672,15.627906976744185,1.9534883720930232,18,11
openaq,Thailand,51,2016-02-01,2023-05-01,1582,31.019607843137255,4.0588235294117645,16,36
openaq,United Kingdom,34,2016-02-01,2023-08-01,747,21.970588235294116,2.588235294117647,16,21
openaq,Germany,43,2016-12-01,2023-08-01,1525,35.46511627906977,2.627906976744186,15,17
openaq,Mexico,34,2016-08-01,2023-08-01,1036,30.470588235294116,3.0,15,13
openaq,Chile,31,2016-02-01,2023-08-01,451,14.548387096774194,2.6129032258064515,14,16
openaq,Norway,28,2016-12-01,2023-08-01,202,7.214285714285714,2.0714285714285716,13,19
openaq,Sweden,20,2018-01-01,2023-05-01,188,9.4,2.1,12,11
openaq,Spain,40,2016-12-01,2023-08-01,1847,46.175,3.0,11,18
openaq,Colombia,14,2016-11-01,2023-08-01,145,10.357142857142858,2.5714285714285716,9,6
openaq,Turkey,28,2016-06-01,2023-05-01,1684,60.142857142857146,3.6785714285714284,8,20
openaq,Belgium,23,2016-12-01,2023-08-01,328,14.26086956521739,2.4347826086956523,8,10
openaq,Czech Republic,18,2016-12-01,2023-08-01,354,19.666666666666668,2.5,7,10
openaq,Finland,18,2016-12-01,2023-08-01,123,6.833333333333333,2.1666666666666665,7,11
openaq,Brazil,10,2017-10-01,2023-08-01,252,25.2,3.9,7,7
openaq,Hungary,13,2020-10-01,2023-08-01,404,31.076923076923077,2.8461538461538463,5,8
openaq,Croatia,12,2017-11-01,2023-08-01,43,3.5833333333333335,1.9166666666666667,5,6
openaq,Italy,25,2019-04-01,2023-08-01,1368,54.72,2.72,4,13
openaq,Iceland,8,2020-05-01,2023-08-01,49,6.125,2.25,4,4
openaq,Bosnia and Herzegovina,13,2016-06-01,2023-08-01,87,6.6923076923076925,2.230769230769231,3,2
openaq,Greece,9,2021-09-01,2023-08-01,94,10.444444444444445,2.7777777777777777,3,4
openaq,Ireland,7,2018-04-01,2023-08-01,55,7.857142857142857,2.2857142857142856,3,1
openaq,Lao People's Dem. Rep.,6,2022-03-01,2023-08-01,20,3.3333333333333335,2.5,3,4
openaq,Netherlands,6,2017-01-01,2023-08-01,169,28.166666666666668,2.0,3,3
openaq,Bangladesh,3,2016-11-01,2023-08-01,14,4.666666666666667,2.6666666666666665,3,1
openaq,Kenya,3,2018-09-01,2023-08-01,5,1.6666666666666667,1.6666666666666667,3,2
openaq,Nicaragua,3,2022-09-01,2023-05-01,8,2.6666666666666665,1.0,3,0
