dataset,target,model,model_family,feature_regime,weighting_strategy,countries__all_eligible,countries__minimum_support,events__all_eligible,events__minimum_support,mean_f1__all_eligible,mean_f1__minimum_support,mean_false_alarm_rate__all_eligible,mean_false_alarm_rate__minimum_support,mean_pr_auc__all_eligible,mean_pr_auc__minimum_support,mean_precision__all_eligible,mean_precision__minimum_support,mean_recall__all_eligible,mean_recall__minimum_support,rows__all_eligible,rows__minimum_support,delta_pr_auc_filtered_minus_all,delta_f1_filtered_minus_all,delta_recall_filtered_minus_all
openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,base,none,10,5,33,25,0.19094017094017093,0.2152136752136752,0.2320761487834658,0.20688734030197437,0.27586138833230106,0.29815134809317356,0.18333333333333332,0.23666666666666666,0.23060606060606062,0.22787878787878788,178,126,0.022289959760872502,0.024273504273504276,-0.002727272727272745
openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,10,5,33,25,0.1308244980825626,0.2116489961651252,0.3131440781440781,0.3985714285714285,0.2557330453467118,0.321783551010884,0.11127450980392158,0.1892156862745098,0.2275757575757576,0.35515151515151516,178,126,0.0660505056641722,0.08082449808256259,0.12757575757575756
openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,none,10,5,33,25,0.145014245014245,0.24002849002849,0.23789466630930045,0.18091753774680602,0.26665567696614123,0.32386690948783803,0.18261904761904763,0.33666666666666667,0.22303030303030305,0.24606060606060604,178,126,0.0572112325216968,0.09501424501424499,0.023030303030302984
openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,base,none,10,5,33,25,0.20144444444444445,0.2028888888888889,0.13366374817594326,0.19211382113821135,0.3316392486632928,0.3582784973265857,0.21523809523809523,0.1638095238095238,0.26969696969696966,0.2727272727272727,178,126,0.02663924866329287,0.0014444444444444426,0.00303030303030305
openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,10,5,33,25,0.22160732670354905,0.31464322483566953,0.5403722564698175,0.6988153310104529,0.3063247739430925,0.36479240502904214,0.21144444444444446,0.20622222222222222,0.45,0.7333333333333333,178,126,0.058467631085949656,0.09303589813212049,0.28333333333333327
openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,none,10,5,33,25,0.15259259259259256,0.2385185185185185,0.1833249947884094,0.21365853658536582,0.30724323669732206,0.34758171148988226,0.11077380952380951,0.181547619047619,0.27878787878787875,0.35757575757575755,178,126,0.0403384747925602,0.08592592592592593,0.0787878787878788
openaq,PM10_p95_rel_p90_h1,xgboost,boosting,base,none,10,5,33,25,0.0,0.0,0.0,0.0,0.3181155641743877,0.3545644616821087,0.0,0.0,0.0,0.0,178,126,0.03644889750772101,0.0,0.0
openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,10,5,33,25,0.06590909090909092,0.13181818181818183,0.23295050477977303,0.32231126596980253,0.3071994818105287,0.3177322969543908,0.04265734265734265,0.0853146853146853,0.1484848484848485,0.296969696969697,178,126,0.010532815143862118,0.06590909090909092,0.1484848484848485
openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,none,10,5,33,25,0.0,0.0,0.0,0.0,0.3510441356029591,0.37296128707893417,0.0,0.0,0.0,0.0,178,126,0.02191715147597506,0.0,0.0
openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,base,none,7,5,28,25,0.3349996564282279,0.368999518999519,0.24392061702729873,0.30315553050488486,0.3990038252911402,0.39193868874092963,0.319327731092437,0.34705882352941175,0.43809523809523804,0.5133333333333333,144,118,-0.007065136550210571,0.03399986257129112,0.07523809523809527
