scenario,dataset,target,model,model_family,feature_regime,weighting_strategy,evaluations,countries,rows,events,mean_event_rate,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_macro_f1,mean_false_alarm_rate,mean_missed_event_rate,mean_roc_auc,mean_pr_auc,pooled_event_rate
all_eligible,openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,base,none,10,10,178,33,0.18282051282051281,0.6822991452991453,0.4992649559112974,0.18333333333333332,0.23060606060606062,0.19094017094017093,0.48989568497818137,0.2320761487834658,0.7693939393939393,0.46065523906987316,0.27586138833230106,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,10,10,178,33,0.18282051282051281,0.6049529914529914,0.4572158397158397,0.11127450980392158,0.2275757575757576,0.1308244980825626,0.4156732281257898,0.3131440781440781,0.7724242424242423,0.41065228267667286,0.2557330453467118,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,logistic_regression,linear,local,none,10,10,178,33,0.18282051282051281,0.650017094017094,0.49256781836050123,0.18261904761904763,0.22303030303030305,0.145014245014245,0.455750962000962,0.23789466630930045,0.776969696969697,0.42710688227761395,0.26665567696614123,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,base,none,10,10,178,33,0.18282051282051281,0.7510854700854701,0.5680166107605131,0.21523809523809523,0.26969696969696966,0.20144444444444445,0.5235478495706677,0.13366374817594326,0.7303030303030302,0.5315240531825898,0.3316392486632928,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,10,10,178,33,0.18282051282051281,0.46327777777777773,0.45481387176509125,0.21144444444444446,0.45,0.22160732670354905,0.3799721606598067,0.5403722564698175,0.55,0.44490537375903233,0.3063247739430925,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,random_forest,ensemble,local,none,10,10,178,33,0.18282051282051281,0.7063632478632479,0.5477314419997347,0.11077380952380951,0.27878787878787875,0.15259259259259256,0.4817806803333119,0.1833249947884094,0.7212121212121212,0.5625929219831659,0.30724323669732206,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,xgboost,boosting,base,none,10,10,178,33,0.18282051282051281,0.8171794871794871,0.5,0.0,0.0,0.0,0.4486501278496684,0.0,1.0,0.5256831501831501,0.3181155641743877,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,10,10,178,33,0.18282051282051281,0.6501666666666667,0.4577671718525377,0.04265734265734265,0.1484848484848485,0.06590909090909092,0.4153707267179807,0.23295050477977303,0.8515151515151516,0.4239257436330607,0.3071994818105287,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h1,xgboost,boosting,local,none,10,10,178,33,0.18282051282051281,0.8171794871794871,0.5,0.0,0.0,0.0,0.4486501278496684,0.0,1.0,0.5502466422466423,0.3510441356029591,0.1853932584269663
all_eligible,openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,base,none,7,7,144,28,0.19676324763314934,0.7049376959021595,0.5970873105339697,0.319327731092437,0.43809523809523804,0.3349996564282279,0.5653458856654345,0.24392061702729873,0.5619047619047619,0.6838841227547929,0.3990038252911402,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,7,7,144,28,0.19676324763314934,0.692845685184829,0.6308843659414985,0.28174603174603174,0.5095238095238095,0.3462585034013605,0.5648521877672533,0.24775507764081242,0.4904761904761905,0.667522618803619,0.5154164821419649,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,logistic_regression,linear,local,none,7,7,144,28,0.19676324763314934,0.7191304668320418,0.5775170434027269,0.21541950113378686,0.35714285714285715,0.2578231292517007,0.5338762428048142,0.20210877033740324,0.6428571428571429,0.6502903193797843,0.4024615076953622,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,base,none,7,7,144,28,0.19676324763314934,0.7083185104705497,0.5290761426521827,0.1585434173669468,0.23333333333333334,0.1829004329004329,0.4978544802489709,0.17518104802896767,0.7666666666666666,0.5383823041411686,0.2742531700424869,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,7,7,144,28,0.19676324763314934,0.4962652795672044,0.5190470090475214,0.19782913165266106,0.5714285714285714,0.2825944170771757,0.4142666993652215,0.5333345533335285,0.42857142857142855,0.5537516226002596,0.3115538543914003,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,random_forest,ensemble,local,none,7,7,144,28,0.19676324763314934,0.710976690447346,0.5377771230443397,0.16071428571428573,0.24285714285714285,0.15934065934065936,0.4853892255530126,0.1673028967684635,0.7571428571428571,0.5738735738197718,0.31807921426097296,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,xgboost,boosting,base,none,7,7,144,28,0.19676324763314934,0.8032367523668507,0.5,0.0,0.0,0.0,0.44461708479558254,0.0,1.0,0.5752834467120181,0.2800716789678965,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,7,7,144,28,0.19676324763314934,0.7234400739700915,0.5887647742023638,0.2774725274725275,0.380952380952381,0.2619047619047619,0.5341479042177063,0.2034228325476532,0.619047619047619,0.6783722838728987,0.5120194329896284,0.19444444444444445
all_eligible,openaq,PM10_p95_rel_p90_h3,xgboost,boosting,local,none,7,7,144,28,0.19676324763314934,0.8032367523668507,0.5,0.0,0.0,0.0,0.44461708479558254,0.0,1.0,0.5512613378684807,0.2555460792543268,0.19444444444444445
all_eligible,openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,8,8,168,25,0.1327978734228734,0.6283193850902185,0.4459171037296037,0.16666666666666666,0.14583333333333331,0.12152777777777778,0.432461181060319,0.30399912587412586,0.7291666666666666,0.3313894438894439,0.20863797936954478,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,8,8,168,25,0.1327978734228734,0.550942672296839,0.4680798368298368,0.1695675105485232,0.35416666666666663,0.20656028368794327,0.41815413866908846,0.443006993006993,0.5208333333333334,0.4226398601398601,0.2469409565089871,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,8,8,168,25,0.1327978734228734,0.648711801315968,0.5053831585081585,0.15674603174603174,0.22916666666666666,0.11527777777777778,0.4313561398708327,0.28090034965034966,0.6458333333333334,0.3619977244977245,0.2226586480395705,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,8,8,168,25,0.1327978734228734,0.7248575498575499,0.5486633158508158,0.1840277777777778,0.21666666666666667,0.18988095238095237,0.5060019841269842,0.21934003496503493,0.6583333333333333,0.5235736485736486,0.3139172321150539,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,8,8,168,25,0.1327978734228734,0.4904539326414326,0.45476762820512817,0.10792483660130718,0.37916666666666665,0.16473937708877467,0.3594234060565492,0.5446314102564103,0.49583333333333335,0.48108141858141856,0.289893126612857,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,8,8,168,25,0.1327978734228734,0.7560882597340931,0.6216018356643357,0.221875,0.31666666666666665,0.22420634920634921,0.5337258095828993,0.18596299533799532,0.5583333333333333,0.5616591741591741,0.3246011239942929,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,8,8,168,25,0.1327978734228734,0.8672021265771266,0.5625,0.0,0.0,0.0,0.5257501863142016,0.0,0.875,0.3345238095238095,0.2550657014942729,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,8,8,168,25,0.1327978734228734,0.7425798738298738,0.5215144230769231,0.08333333333333333,0.10416666666666666,0.09027777777777778,0.4634941233705474,0.1736378205128205,0.7708333333333334,0.3782467532467533,0.23427998394384944,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,8,8,168,25,0.1327978734228734,0.8672021265771266,0.5625,0.0,0.0,0.0,0.5257501863142016,0.0,0.875,0.39313186813186807,0.22558737558737554,0.1488095238095238
all_eligible,openaq,PM25_p95_rel_p90_h3,logistic_regression,linear,base,none,6,6,140,23,0.1595216199646579,0.6655194020700349,0.5183072374248845,0.17094017094017092,0.2261904761904762,0.19166666666666665,0.4840546961808178,0.27290933467404055,0.6071428571428571,0.5165337930043813,0.28135692724185324,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,6,6,140,23,0.1595216199646579,0.7122768581629342,0.6158930666283607,0.21440677966101696,0.33928571428571425,0.24467275494672755,0.5151132170768288,0.2574995810289928,0.49404761904761907,0.6083344106873518,0.39673723859202004,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,logistic_regression,linear,local,none,6,6,140,23,0.1595216199646579,0.6994739262144325,0.5320865953218894,0.16269841269841268,0.19047619047619047,0.17380952380952377,0.48996050246050243,0.22630299983241162,0.6428571428571429,0.5488228111757524,0.34749261247850916,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,random_forest,ensemble,base,none,6,6,140,23,0.1595216199646579,0.6545764362220058,0.4848440230793172,0.1473429951690821,0.14285714285714285,0.1402831402831403,0.4585906542844342,0.25650243003184175,0.6904761904761906,0.48057171586583347,0.29666197637626207,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,6,6,140,23,0.1595216199646579,0.30662032529121136,0.3381895065718595,0.09006707946336429,0.3511904761904762,0.12993487993487993,0.2510961885589492,0.6914781297134237,0.48214285714285715,0.34815126050420164,0.30103318657037287,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,random_forest,ensemble,local,none,6,6,140,23,0.1595216199646579,0.6498471816509791,0.4332211089564031,0.18333333333333335,0.05357142857142857,0.08055555555555556,0.4204245795663706,0.22046254399195575,0.7797619047619048,0.5184356819650937,0.2966090612972753,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,xgboost,boosting,base,none,6,6,140,23,0.1595216199646579,0.840478380035342,0.5833333333333334,0.0,0.0,0.0,0.5382184944684945,0.0,0.8333333333333334,0.5,0.1914259439575895,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,xgboost,boosting,local,country_class_balanced,6,6,140,23,0.1595216199646579,0.6896949042518662,0.48809912854030496,0.05555555555555555,0.041666666666666664,0.047619047619047616,0.42748466345602565,0.1821350762527233,0.7916666666666666,0.6230065359477124,0.336871609403255,0.16428571428571428
all_eligible,openaq,PM25_p95_rel_p90_h3,xgboost,boosting,local,none,6,6,140,23,0.1595216199646579,0.840478380035342,0.5833333333333334,0.0,0.0,0.0,0.5382184944684945,0.0,0.8333333333333334,0.5,0.1914259439575895,0.16428571428571428
all_eligible,waqd2024,PM10_p95_rel_p90_h1,logistic_regression,linear,base,none,14,14,227,40,0.17494079994079992,0.6350843600843602,0.5360842989762851,0.21991758241758244,0.3242424242424242,0.23237179487179488,0.4826469209245203,0.3175500167660446,0.6043290043290044,0.4830976819719784,0.3298234416937601,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,14,14,227,40,0.17494079994079992,0.583010508010508,0.4706497262899702,0.1357142857142857,0.21883116883116882,0.14393939393939395,0.4185536306581089,0.34300790672741893,0.7097402597402597,0.4412126803777836,0.2698232051074148,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,logistic_regression,linear,local,none,14,14,227,40,0.17494079994079992,0.6321271321271321,0.5287733100233101,0.22051282051282048,0.29458874458874457,0.18860544217687075,0.4579533896677687,0.302518315018315,0.633982683982684,0.4616866039942963,0.29671822571653794,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,random_forest,ensemble,base,none,14,14,227,40,0.17494079994079992,0.6888056388056388,0.6012440666186311,0.22767857142857142,0.3874458874458874,0.21568825910931172,0.5001309094891264,0.22662442087529192,0.5411255411255411,0.6340623937246826,0.44557022962411696,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,14,14,227,40,0.17494079994079992,0.6678076553076553,0.6396849956083406,0.26059059987631417,0.5465367965367965,0.2967772108843537,0.5192858697815594,0.314785852939163,0.38203463203463206,0.6130988148811789,0.43995367425783755,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,random_forest,ensemble,local,none,14,14,227,40,0.17494079994079992,0.7143194768194768,0.5980552911084269,0.2236394557823129,0.35173160173160173,0.20762766645119585,0.5060526354794062,0.2091924480861763,0.5768398268398268,0.5973365648318744,0.39901831322620107,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,xgboost,boosting,base,none,14,14,227,40,0.17494079994079992,0.7845321345321346,0.5195370831259333,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.44938443174689846,0.050211548033847676,0.9047619047619048,0.5960550914584686,0.4180359841104321,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,14,14,227,40,0.17494079994079992,0.7200683575683575,0.6031223059750934,0.13893557422969188,0.33116883116883117,0.18333333333333332,0.4993780663858421,0.19040040969483477,0.5974025974025974,0.5367397663832936,0.3402635278270169,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h1,xgboost,boosting,local,none,14,14,227,40,0.17494079994079992,0.8128237503237504,0.5508078231292517,0.08928571428571429,0.05952380952380952,0.06802721088435373,0.5150518901147814,0.02933673469387755,0.869047619047619,0.5379014877138705,0.348847580421489,0.1762114537444934
all_eligible,waqd2024,PM10_p95_rel_p90_h3,logistic_regression,linear,base,none,9,9,174,29,0.15545652604476132,0.6638730187749796,0.5805277212209177,0.18958078958078958,0.3111111111111111,0.22224627224627222,0.4909860526130135,0.304851490131764,0.4666666666666667,0.5994396560506958,0.36393717783688245,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,logistic_regression,linear,local,country_class_balanced,9,9,174,29,0.15545652604476132,0.6553580043776122,0.5782255261181235,0.12314814814814816,0.2981481481481481,0.1694451059776137,0.45212690789316173,0.3221339430154149,0.47962962962962963,0.6394939148102544,0.3584978778032431,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,logistic_regression,linear,local,none,9,9,174,29,0.15545652604476132,0.694826596787381,0.6069387386888456,0.1835923335923336,0.29444444444444445,0.21296296296296294,0.49953703703703706,0.26100381417026686,0.4833333333333333,0.5683874319946207,0.3408700606391261,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,random_forest,ensemble,base,none,9,9,174,29,0.15545652604476132,0.6803078548176588,0.5738101202906508,0.15648148148148147,0.25,0.16203703703703703,0.4698303740624663,0.2495782399505121,0.5277777777777778,0.5524535787785375,0.32266765327689695,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,random_forest,ensemble,local,country_class_balanced,9,9,174,29,0.15545652604476132,0.5526329153780134,0.5278282305025993,0.13980158730158732,0.3222222222222222,0.1863586705691969,0.41419661389040496,0.40521723320182884,0.4555555555555555,0.5966543827629468,0.4498017621262905,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,random_forest,ensemble,local,none,9,9,174,29,0.15545652604476132,0.7062627278313554,0.5705633516074252,0.1907203907203907,0.2,0.1339225589225589,0.46704989839488764,0.20607177731696347,0.5777777777777778,0.5371251881154687,0.39615514107740996,0.16666666666666666
all_eligible,waqd2024,PM10_p95_rel_p90_h3,xgboost,boosting,base,none,9,9,174,29,0.15545652604476132,0.8075064369182017,0.5740740740740741,0.0,0.0,0.0,0.5004371109783382,0.037037037037037035,0.7777777777777778,0.5887307554600787,0.3665048536897276,0.16666666666666666
