dataset,target,held_out_country,eligible_for_training,test_rows,test_events,test_non_events,test_event_rate,test_months,test_start_month,test_end_month,test_class_count,has_two_test_classes,fold_status,diagnostic_reason,pr_auc_reliability,f1_reliability,train_rows,train_events,train_event_rate,validation_rows,validation_events,validation_event_rate,validation_stratified,random_seed,validation_size,min_test_rows,min_train_rows
waqd2024,PM25_p95_rel_p90_h1,Australia,True,13,1,12,0.07692307692307693,13,2020-07,2024-01,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,197,35,0.17766497461928935,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Canada,True,11,3,8,0.2727272727272727,11,2021-01,2024-02,2,True,limited_support,test fold has both classes but limited sample/event support,limited,limited,198,33,0.16666666666666666,36,6,0.16666666666666666,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Chile,False,4,2,2,0.5,4,2018-08,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,China,True,16,1,15,0.0625,16,2019-10,2023-07,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,194,35,0.18041237113402062,35,6,0.17142857142857143,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Colombia,False,2,0,2,0.0,2,2022-03,2022-12,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Finland,False,1,1,0,1.0,1,2024-02,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,France,True,19,1,18,0.05263157894736842,19,2018-12,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,192,35,0.18229166666666666,34,6,0.17647058823529413,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Germany,False,6,4,2,0.6666666666666666,6,2019-11,2024-02,2,True,unstable_low_support,test fold has both classes but too few samples or too few events,unstable,unstable,0,0,,0,0,,False,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,India,True,11,0,11,0.0,11,2018-04,2022-09,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,198,36,0.18181818181818182,36,6,0.16666666666666666,True,42,0.15,8,30
waqd2024,PM25_p95_rel_p90_h1,Italy,False,1,0,1,0.0,1,2024-02,2024-02,1,False,unstable_single_class,test fold has a single observed class; threshold metrics and ranking metrics are fragile,unstable_single_class,unstable_single_class,0,0,,0,0,,False,42,0.15,8,30
