dataset,target,fold_status,countries,eligible_countries,total_test_rows,total_test_events,median_test_rows,median_test_events,total_test_event_rate
openaq,PM10_p95_rel_p90_h1,limited_support,4,4,64,11,15.0,3.0,0.171875
openaq,PM10_p95_rel_p90_h1,unstable_low_support,6,4,49,10,8.5,1.0,0.20408163265306123
openaq,PM10_p95_rel_p90_h1,unstable_single_class,10,0,27,1,1.5,0.0,0.037037037037037035
openaq,PM10_p95_rel_p90_h1,usable,2,2,77,16,38.5,8.0,0.2077922077922078
openaq,PM10_p95_rel_p90_h3,limited_support,4,4,54,11,12.5,3.0,0.2037037037037037
openaq,PM10_p95_rel_p90_h3,unstable_low_support,6,1,39,8,5.0,1.0,0.20512820512820512
openaq,PM10_p95_rel_p90_h3,unstable_single_class,6,0,19,0,2.0,0.0,0.0
openaq,PM10_p95_rel_p90_h3,usable,2,2,74,16,37.0,8.0,0.21621621621621623
openaq,PM25_p95_rel_p90_h1,limited_support,2,2,23,5,11.5,2.5,0.21739130434782608
openaq,PM25_p95_rel_p90_h1,unstable_low_support,9,4,80,16,7.0,1.0,0.2
openaq,PM25_p95_rel_p90_h1,unstable_single_class,7,1,21,0,2.0,0.0,0.0
openaq,PM25_p95_rel_p90_h1,usable,1,1,81,15,81.0,15.0,0.18518518518518517
openaq,PM25_p95_rel_p90_h3,limited_support,2,2,25,6,12.5,3.0,0.24
openaq,PM25_p95_rel_p90_h3,unstable_low_support,8,2,59,11,6.5,1.0,0.1864406779661017
openaq,PM25_p95_rel_p90_h3,unstable_single_class,5,1,15,1,1.0,0.0,0.06666666666666667
openaq,PM25_p95_rel_p90_h3,usable,1,1,79,14,79.0,14.0,0.17721518987341772
waqd2024,PM10_p95_rel_p90_h1,limited_support,4,4,70,13,15.0,3.0,0.18571428571428572
waqd2024,PM10_p95_rel_p90_h1,unstable_low_support,12,7,86,18,8.0,1.0,0.20930232558139536
waqd2024,PM10_p95_rel_p90_h1,unstable_single_class,4,1,16,2,1.5,0.0,0.125
waqd2024,PM10_p95_rel_p90_h1,usable,2,2,79,16,39.5,8.0,0.20253164556962025
waqd2024,PM10_p95_rel_p90_h3,limited_support,4,4,60,13,14.0,3.0,0.21666666666666667
waqd2024,PM10_p95_rel_p90_h3,unstable_low_support,8,1,52,12,5.5,1.0,0.23076923076923078
waqd2024,PM10_p95_rel_p90_h3,unstable_single_class,4,2,29,0,7.5,0.0,0.0
waqd2024,PM10_p95_rel_p90_h3,usable,2,2,77,15,38.5,7.5,0.19480519480519481
waqd2024,PM25_p95_rel_p90_h1,limited_support,5,5,66,16,13.0,3.0,0.24242424242424243
waqd2024,PM25_p95_rel_p90_h1,unstable_low_support,6,3,61,10,9.5,1.0,0.16393442622950818
waqd2024,PM25_p95_rel_p90_h1,unstable_single_class,9,2,37,1,2.0,0.0,0.02702702702702703
waqd2024,PM25_p95_rel_p90_h1,usable,1,1,81,15,81.0,15.0,0.18518518518518517
waqd2024,PM25_p95_rel_p90_h3,limited_support,6,6,81,19,13.5,3.5,0.2345679012345679
waqd2024,PM25_p95_rel_p90_h3,unstable_low_support,4,3,39,4,8.5,1.0,0.10256410256410256
waqd2024,PM25_p95_rel_p90_h3,unstable_single_class,4,0,16,7,3.5,1.5,0.4375
waqd2024,PM25_p95_rel_p90_h3,usable,1,1,79,14,79.0,14.0,0.17721518987341772
