scenario,model,configuration,evaluations,countries,rows,events,pooled_event_rate,mean_event_rate,mean_pr_auc,mean_f1,mean_recall,mean_precision,mean_false_alarm_rate
all_eligible,logistic_regression,Base,11,11,217,34,0.15668202764976957,0.14500200534889526,0.29132405905620656,0.1325358851674641,0.1621212121212121,0.15687935253152643,0.28388429752066113
minimum_support,logistic_regression,Base,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3880442896425109,0.24298245614035086,0.2972222222222222,0.28761214630779847,0.2824074074074074
all_eligible,logistic_regression,Country-class balanced,11,11,217,34,0.15668202764976957,0.14500200534889526,0.243060141426231,0.17046657046657046,0.38333333333333336,0.12318111181747544,0.4023645546372819
minimum_support,logistic_regression,Country-class balanced,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3063891539382883,0.24215167548500882,0.36944444444444446,0.18648018648018647,0.4152777777777778
all_eligible,logistic_regression,Local features,11,11,217,34,0.15668202764976957,0.14500200534889526,0.25016140661861247,0.1592056932966024,0.3090909090909091,0.21038961038961038,0.3522956841138659
minimum_support,logistic_regression,Local features,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3263003109861197,0.26157407407407407,0.39999999999999997,0.36904761904761907,0.32474747474747473
all_eligible,random_forest,Base,11,11,217,34,0.15668202764976957,0.14500200534889526,0.2853179291482708,0.16253191253191251,0.1803030303030303,0.18939393939393942,0.156198347107438
minimum_support,random_forest,Base,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3711587119042244,0.29797517297517295,0.33055555555555555,0.34722222222222227,0.19924242424242422
all_eligible,random_forest,Country-class balanced,11,11,217,34,0.15668202764976957,0.14500200534889526,0.24832201407993493,0.1874347377146929,0.4666666666666666,0.13147073885710248,0.427961432506887
minimum_support,random_forest,Country-class balanced,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3174234973103786,0.28648749533407986,0.5222222222222223,0.20969065656565655,0.48324915824915826
all_eligible,random_forest,Local features,11,11,217,34,0.15668202764976957,0.14500200534889526,0.29967277532035264,0.11739980449657868,0.10757575757575756,0.1590909090909091,0.13342516069788798
minimum_support,random_forest,Local features,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3950219834933495,0.21523297491039425,0.1972222222222222,0.2916666666666667,0.16338383838383838
all_eligible,xgboost,Base,11,11,217,34,0.15668202764976957,0.14500200534889526,0.21586232697343802,0.0,0.0,0.0,0.005050505050505045
minimum_support,xgboost,Base,6,6,147,31,0.2108843537414966,0.23382790049456711,0.2694284110950777,0.0,0.0,0.0,0.0
all_eligible,xgboost,Country-class balanced,11,11,217,34,0.15668202764976957,0.14500200534889526,0.258963065980287,0.11769771447190801,0.1424242424242424,0.10113636363636364,0.17867309458218547
minimum_support,xgboost,Country-class balanced,6,6,147,31,0.2108843537414966,0.23382790049456711,0.3456205248963565,0.215779143198498,0.26111111111111107,0.18541666666666667,0.19204545454545452
all_eligible,xgboost,Local features,11,11,217,34,0.15668202764976957,0.14500200534889526,0.29419158516380733,0.0,0.0,0.0,0.0101010101010101
minimum_support,xgboost,Local features,6,6,147,31,0.2108843537414966,0.23382790049456711,0.37812600208433533,0.0,0.0,0.0,0.0
