scenario,dataset,target,model,model_family,feature_regime,weighting_strategy,configuration,countries__default_0.50,countries__validation_f1,events__default_0.50,events__validation_f1,false_alerts_per_100_city_months__default_0.50,false_alerts_per_100_city_months__validation_f1,mean_f1__default_0.50,mean_f1__validation_f1,mean_false_alarm_rate__default_0.50,mean_false_alarm_rate__validation_f1,mean_pr_auc__default_0.50,mean_pr_auc__validation_f1,mean_precision__default_0.50,mean_precision__validation_f1,mean_recall__default_0.50,mean_recall__validation_f1,mean_threshold__default_0.50,mean_threshold__validation_f1,rows__default_0.50,rows__validation_f1,delta_f1_calibrated_minus_default,delta_recall_calibrated_minus_default,delta_precision_calibrated_minus_default,delta_far_calibrated_minus_default,delta_false_alerts_per_100_calibrated_minus_default
all_eligible,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,Base,11,11,34,34,28.388429752066113,29.467401285583104,0.1325358851674641,0.1450174825174825,0.28388429752066113,0.29467401285583106,0.29132405905620656,0.29132405905620656,0.15687935253152643,0.16611493082081316,0.1621212121212121,0.18484848484848485,0.5,0.5272727272727272,217,217,0.012481597350018414,0.022727272727272735,0.009235578289286728,0.010789715335169925,1.0789715335169916
all_eligible,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,Country-class balanced,11,11,34,34,40.23645546372819,51.62764003673094,0.17046657046657046,0.13202197412723726,0.4023645546372819,0.5162764003673094,0.243060141426231,0.243060141426231,0.12318111181747544,0.09106449106449105,0.38333333333333336,0.3151515151515152,0.5,0.36818181818181817,217,217,-0.0384445963393332,-0.06818181818181818,-0.032116620752984396,0.1139118457300275,11.391184573002747
all_eligible,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,Local features,11,11,34,34,35.229568411386595,45.30762167125803,0.1592056932966024,0.0958041958041958,0.3522956841138659,0.45307621671258036,0.25016140661861247,0.25016140661861247,0.21038961038961038,0.0606060606060606,0.3090909090909091,0.2727272727272727,0.5,0.4318181818181818,217,217,-0.06340149749240659,-0.036363636363636376,-0.14978354978354977,0.10078053259871445,10.078053259871439
all_eligible,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,Base,11,11,34,34,15.619834710743799,30.266299357208442,0.16253191253191251,0.1613093099259107,0.156198347107438,0.3026629935720844,0.2853179291482708,0.2853179291482708,0.18939393939393942,0.1314935064935065,0.1803030303030303,0.2939393939393939,0.5,0.45,217,217,-0.0012226026060018214,0.11363636363636359,-0.057900432900432924,0.14646464646464644,14.646464646464644
all_eligible,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,Country-class balanced,11,11,34,34,42.7961432506887,31.75390266299357,0.1874347377146929,0.1173160173160173,0.427961432506887,0.3175390266299357,0.24832201407993493,0.24832201407993493,0.13147073885710248,0.09717714502403497,0.4666666666666666,0.32575757575757575,0.5,0.5272727272727272,217,217,-0.0701187203986756,-0.14090909090909087,-0.0342935938330675,-0.11042240587695129,-11.04224058769513
all_eligible,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,Local features,11,11,34,34,13.342516069788799,40.7208448117539,0.11739980449657868,0.14776334776334774,0.13342516069788798,0.407208448117539,0.29967277532035264,0.29967277532035264,0.1590909090909091,0.11862583049748826,0.10757575757575756,0.3015151515151515,0.5,0.44090909090909086,217,217,0.030363543266769058,0.19393939393939397,-0.04046507859342083,0.27378328741965097,27.3783287419651
all_eligible,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,Base,11,11,34,34,0.5050505050505045,59.288337924701565,0.0,0.1602431659249841,0.005050505050505045,0.5928833792470156,0.21586232697343802,0.21586232697343802,0.0,0.10365433786486417,0.0,0.4848484848484848,0.5,0.1409090909090909,217,217,0.1602431659249841,0.4848484848484848,0.10365433786486417,0.5878328741965105,58.78328741965106
all_eligible,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,Country-class balanced,11,11,34,34,17.867309458218546,29.577594123048666,0.11769771447190801,0.1402541054493516,0.17867309458218547,0.29577594123048667,0.258963065980287,0.258963065980287,0.10113636363636364,0.11128328741965104,0.1424242424242424,0.29393939393939394,0.5,0.4636363636363636,217,217,0.022556390977443594,0.15151515151515155,0.01014692378328741,0.1171028466483012,11.71028466483012
all_eligible,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,Local features,11,11,34,34,1.01010101010101,50.794306703397616,0.0,0.20283466533466532,0.0101010101010101,0.5079430670339762,0.29419158516380733,0.29419158516380733,0.0,0.19241860390185747,0.0,0.4621212121212121,0.5,0.14545454545454548,217,217,0.20283466533466532,0.4621212121212121,0.19241860390185747,0.49784205693296607,49.784205693296606
minimum_support,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,Base,6,6,31,31,28.240740740740737,24.957912457912457,0.24298245614035086,0.2658653846153846,0.2824074074074074,0.24957912457912457,0.3880442896425109,0.3880442896425109,0.28761214630779847,0.3045440398381575,0.2972222222222222,0.33888888888888885,0.5,0.5750000000000001,147,147,0.02288292847503376,0.04166666666666663,0.01693189353035901,-0.03282828282828282,-3.28282828282828
minimum_support,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,Country-class balanced,6,6,31,31,41.52777777777778,45.32407407407407,0.24215167548500882,0.2244964262508122,0.4152777777777778,0.45324074074074067,0.3063891539382883,0.3063891539382883,0.18648018648018647,0.15769230769230766,0.36944444444444446,0.41111111111111115,0.5,0.45,147,147,-0.01765524923419662,0.041666666666666685,-0.028787878787878807,0.037962962962962865,3.7962962962962905
minimum_support,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,Local features,6,6,31,31,32.474747474747474,37.56734006734007,0.26157407407407407,0.15,0.32474747474747473,0.37567340067340066,0.3263003109861197,0.3263003109861197,0.36904761904761907,0.09722222222222221,0.39999999999999997,0.3333333333333333,0.5,0.5750000000000001,147,147,-0.11157407407407408,-0.06666666666666665,-0.27182539682539686,0.05092592592592593,5.092592592592595
minimum_support,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,Base,6,6,31,31,19.924242424242422,32.51683501683502,0.29797517297517295,0.2735115126419474,0.19924242424242422,0.32516835016835016,0.3711587119042244,0.3711587119042244,0.34722222222222227,0.22916666666666666,0.33055555555555555,0.3722222222222222,0.5,0.4666666666666666,147,147,-0.024463660333225556,0.04166666666666663,-0.11805555555555561,0.12592592592592594,12.592592592592595
minimum_support,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,Country-class balanced,6,6,31,31,48.32491582491583,24.88215488215488,0.28648749533407986,0.17460317460317457,0.48324915824915826,0.2488215488215488,0.3174234973103786,0.3174234973103786,0.20969065656565655,0.15656565656565655,0.5222222222222223,0.2638888888888889,0.5,0.5750000000000001,147,147,-0.11188432073090529,-0.25833333333333336,-0.053125000000000006,-0.23442760942760946,-23.44276094276095
minimum_support,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,Local features,6,6,31,31,16.338383838383837,41.53198653198653,0.21523297491039425,0.2523809523809524,0.16338383838383838,0.4153198653198653,0.3950219834933495,0.3950219834933495,0.2916666666666667,0.20767676767676768,0.1972222222222222,0.38611111111111107,0.5,0.45,147,147,0.03714797747055812,0.18888888888888888,-0.083989898989899,0.2519360269360269,25.193602693602696
minimum_support,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,Base,6,6,31,31,0.0,54.629629629629626,0.0,0.2562791375291375,0.0,0.5462962962962963,0.2694284110950777,0.2694284110950777,0.0,0.17014991181657846,0.0,0.5555555555555555,0.5,0.15833333333333333,147,147,0.2562791375291375,0.5555555555555555,0.17014991181657846,0.5462962962962963,54.629629629629626
minimum_support,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,Country-class balanced,6,6,31,31,19.204545454545453,29.898989898989896,0.215779143198498,0.2395886670080218,0.19204545454545452,0.298989898989899,0.3456205248963565,0.3456205248963565,0.18541666666666667,0.194760101010101,0.26111111111111107,0.37222222222222223,0.5,0.4666666666666666,147,147,0.023809523809523808,0.11111111111111116,0.00934343434343432,0.10694444444444445,10.694444444444443
minimum_support,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,Local features,6,6,31,31,0.0,58.14814814814815,0.0,0.3551968864468864,0.0,0.5814814814814815,0.37812600208433533,0.37812600208433533,0.0,0.3439955106621773,0.0,0.6805555555555555,0.5,0.14166666666666666,147,147,0.3551968864468864,0.6805555555555555,0.3439955106621773,0.5814814814814815,58.14814814814815
