scenario,threshold_policy,dataset,target,model,model_family,feature_regime,weighting_strategy,countries,rows,events,mean_threshold,mean_event_rate,mean_precision,mean_recall,mean_f1,mean_pr_auc,mean_false_alarm_rate,configuration,pooled_event_rate,false_alerts_per_100_city_months
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,11,217,34,0.5,0.14500200534889526,0.15687935253152643,0.1621212121212121,0.1325358851674641,0.29132405905620656,0.28388429752066113,Base,0.15668202764976957,28.388429752066113
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,11,217,34,0.5,0.14500200534889526,0.12318111181747544,0.38333333333333336,0.17046657046657046,0.243060141426231,0.4023645546372819,Country-class balanced,0.15668202764976957,40.23645546372819
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,11,217,34,0.5,0.14500200534889526,0.21038961038961038,0.3090909090909091,0.1592056932966024,0.25016140661861247,0.3522956841138659,Local features,0.15668202764976957,35.229568411386595
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,11,217,34,0.5,0.14500200534889526,0.18939393939393942,0.1803030303030303,0.16253191253191251,0.2853179291482708,0.156198347107438,Base,0.15668202764976957,15.619834710743799
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,11,217,34,0.5,0.14500200534889526,0.13147073885710248,0.4666666666666666,0.1874347377146929,0.24832201407993493,0.427961432506887,Country-class balanced,0.15668202764976957,42.7961432506887
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,11,217,34,0.5,0.14500200534889526,0.1590909090909091,0.10757575757575756,0.11739980449657868,0.29967277532035264,0.13342516069788798,Local features,0.15668202764976957,13.342516069788799
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,11,217,34,0.5,0.14500200534889526,0.0,0.0,0.0,0.21586232697343802,0.005050505050505045,Base,0.15668202764976957,0.5050505050505045
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,11,217,34,0.5,0.14500200534889526,0.10113636363636364,0.1424242424242424,0.11769771447190801,0.258963065980287,0.17867309458218547,Country-class balanced,0.15668202764976957,17.867309458218546
all_eligible,default_0.50,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,none,11,217,34,0.5,0.14500200534889526,0.0,0.0,0.0,0.29419158516380733,0.0101010101010101,Local features,0.15668202764976957,1.01010101010101
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,base,none,11,217,34,0.5272727272727272,0.14500200534889526,0.16611493082081316,0.18484848484848485,0.1450174825174825,0.29132405905620656,0.29467401285583106,Base,0.15668202764976957,29.467401285583104
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,country_class_balanced,11,217,34,0.36818181818181817,0.14500200534889526,0.09106449106449105,0.3151515151515152,0.13202197412723726,0.243060141426231,0.5162764003673094,Country-class balanced,0.15668202764976957,51.62764003673094
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,logistic_regression,linear,local,none,11,217,34,0.4318181818181818,0.14500200534889526,0.0606060606060606,0.2727272727272727,0.0958041958041958,0.25016140661861247,0.45307621671258036,Local features,0.15668202764976957,45.30762167125803
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,base,none,11,217,34,0.45,0.14500200534889526,0.1314935064935065,0.2939393939393939,0.1613093099259107,0.2853179291482708,0.3026629935720844,Base,0.15668202764976957,30.266299357208442
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,country_class_balanced,11,217,34,0.5272727272727272,0.14500200534889526,0.09717714502403497,0.32575757575757575,0.1173160173160173,0.24832201407993493,0.3175390266299357,Country-class balanced,0.15668202764976957,31.75390266299357
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,random_forest,ensemble,local,none,11,217,34,0.44090909090909086,0.14500200534889526,0.11862583049748826,0.3015151515151515,0.14776334776334774,0.29967277532035264,0.407208448117539,Local features,0.15668202764976957,40.7208448117539
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,base,none,11,217,34,0.1409090909090909,0.14500200534889526,0.10365433786486417,0.4848484848484848,0.1602431659249841,0.21586232697343802,0.5928833792470156,Base,0.15668202764976957,59.288337924701565
all_eligible,validation_f1,waqd2024,PM25_p95_rel_p90_h1,xgboost,boosting,local,country_class_balanced,11,217,34,0.4636363636363636,0.14500200534889526,0.11128328741965104,0.29393939393939394,0.1402541054493516,0.258963065980287,0.29577594123048667,Country-class balanced,0.15668202764976957,29.577594123048666
