protocol,model,configuration,evaluations,countries,rows,mean_event_rate,mean_pr_auc,mean_f1,mean_recall,mean_precision,mean_false_alarm_rate
leave_one_country_out,logistic_regression,Base,11,11,217,0.1450020053488953,0.2913240590562065,0.1325358851674641,0.1621212121212121,0.1568793525315264,0.2838842975206611
leave_one_country_out,logistic_regression,Country-class balanced,11,11,217,0.1450020053488953,0.243060141426231,0.1704665704665704,0.3833333333333333,0.1231811118174754,0.4023645546372819
leave_one_country_out,logistic_regression,Local features,11,11,217,0.1450020053488953,0.2501614066186124,0.1592056932966024,0.3090909090909091,0.2103896103896103,0.3522956841138659
leave_one_country_out,random_forest,Base,11,11,217,0.1450020053488953,0.2853179291482708,0.1625319125319125,0.1803030303030303,0.1893939393939394,0.156198347107438
leave_one_country_out,random_forest,Country-class balanced,11,11,217,0.1450020053488953,0.2483220140799349,0.1874347377146929,0.4666666666666666,0.1314707388571024,0.427961432506887
leave_one_country_out,random_forest,Local features,11,11,217,0.1450020053488953,0.2996727753203527,0.1173998044965787,0.1075757575757575,0.1590909090909091,0.1334251606978879
leave_one_country_out,xgboost,Base,11,11,217,0.1450020053488953,0.215862326973438,0.0,0.0,0.0,0.005050505050505
leave_one_country_out,xgboost,Country-class balanced,11,11,217,0.1450020053488953,0.258963065980287,0.117697714471908,0.1424242424242424,0.1011363636363636,0.1786730945821854
leave_one_country_out,xgboost,Local features,11,11,217,0.1450020053488953,0.2941915851638074,0.0,0.0,0.0,0.0101010101010101
random_split,logistic_regression,Base,1,0,37,0.1621621621621621,0.3945498945498945,0.4,0.5,0.3333333333333333,0.1935483870967742
random_split,logistic_regression,Country-class balanced,1,0,37,0.1621621621621621,0.5377899877899878,0.375,0.5,0.3,0.2258064516129032
random_split,logistic_regression,Local features,1,0,37,0.1621621621621621,0.3270937395937396,0.3333333333333333,0.5,0.25,0.2903225806451613
random_split,random_forest,Base,1,0,37,0.1621621621621621,0.6529468109082712,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.0967741935483871
random_split,random_forest,Country-class balanced,1,0,37,0.1621621621621621,0.2824805941185251,0.4210526315789473,0.6666666666666666,0.3076923076923077,0.2903225806451613
random_split,random_forest,Local features,1,0,37,0.1621621621621621,0.540947940947941,0.4,0.3333333333333333,0.5,0.064516129032258
random_split,xgboost,Base,1,0,37,0.1621621621621621,0.4561808561808561,0.0,0.0,0.0,0.0
random_split,xgboost,Country-class balanced,1,0,37,0.1621621621621621,0.2679487179487179,0.1538461538461538,0.1666666666666666,0.1428571428571428,0.1935483870967742
random_split,xgboost,Local features,1,0,37,0.1621621621621621,0.4997474747474747,0.0,0.0,0.0,0.0
temporal_split,logistic_regression,Base,1,0,86,0.1976744186046511,0.2249927854667899,0.24,0.3529411764705882,0.1818181818181818,0.391304347826087
temporal_split,logistic_regression,Country-class balanced,1,0,86,0.1976744186046511,0.2170723106731888,0.2222222222222222,0.2352941176470588,0.2105263157894736,0.217391304347826
temporal_split,logistic_regression,Local features,1,0,86,0.1976744186046511,0.2287035422393105,0.1860465116279069,0.2352941176470588,0.1538461538461538,0.3188405797101449
temporal_split,random_forest,Base,1,0,86,0.1976744186046511,0.3007757243063645,0.1935483870967742,0.1764705882352941,0.2142857142857142,0.1594202898550724
temporal_split,random_forest,Country-class balanced,1,0,86,0.1976744186046511,0.3046735225405695,0.275,0.6470588235294118,0.1746031746031746,0.7536231884057971
temporal_split,random_forest,Local features,1,0,86,0.1976744186046511,0.3062342593613749,0.2758620689655172,0.2352941176470588,0.3333333333333333,0.1159420289855072
temporal_split,xgboost,Base,1,0,86,0.1976744186046511,0.1976744186046511,0.0,0.0,0.0,0.0
temporal_split,xgboost,Country-class balanced,1,0,86,0.1976744186046511,0.1976744186046511,0.0,0.0,0.0,0.0
temporal_split,xgboost,Local features,1,0,86,0.1976744186046511,0.1976744186046511,0.0,0.0,0.0,0.0
