dataset,target,model,configuration,evaluations,countries,rows,mean_event_rate,mean_pr_auc,mean_f1,mean_recall,mean_precision,mean_false_alarm_rate
openaq,PM10_p95_rel_p90_h1,logistic_regression,Base,10,10,178,0.1828205128205128,0.275861388332301,0.1909401709401709,0.2306060606060606,0.1833333333333333,0.2320761487834658
openaq,PM10_p95_rel_p90_h1,logistic_regression,Country-class balanced,10,10,178,0.1828205128205128,0.2557330453467118,0.1308244980825626,0.2275757575757575,0.1112745098039215,0.3131440781440781
openaq,PM10_p95_rel_p90_h1,logistic_regression,Local features,10,10,178,0.1828205128205128,0.2666556769661413,0.145014245014245,0.223030303030303,0.1826190476190476,0.2378946663093004
openaq,PM10_p95_rel_p90_h1,random_forest,Base,10,10,178,0.1828205128205128,0.3316392486632928,0.2014444444444444,0.2696969696969696,0.2152380952380952,0.1336637481759433
openaq,PM10_p95_rel_p90_h1,random_forest,Country-class balanced,10,10,178,0.1828205128205128,0.3063247739430925,0.221607326703549,0.45,0.2114444444444444,0.5403722564698175
openaq,PM10_p95_rel_p90_h1,random_forest,Local features,10,10,178,0.1828205128205128,0.307243236697322,0.1525925925925925,0.2787878787878788,0.1107738095238095,0.1833249947884094
openaq,PM10_p95_rel_p90_h1,xgboost,Base,10,10,178,0.1828205128205128,0.3181155641743877,0.0,0.0,0.0,0.0
openaq,PM10_p95_rel_p90_h1,xgboost,Country-class balanced,10,10,178,0.1828205128205128,0.3071994818105287,0.0659090909090909,0.1484848484848485,0.0426573426573426,0.232950504779773
openaq,PM10_p95_rel_p90_h1,xgboost,Local features,10,10,178,0.1828205128205128,0.3510441356029591,0.0,0.0,0.0,0.0
openaq,PM10_p95_rel_p90_h3,logistic_regression,Base,7,7,144,0.1967632476331493,0.3990038252911402,0.3349996564282279,0.438095238095238,0.319327731092437,0.2439206170272987
openaq,PM10_p95_rel_p90_h3,logistic_regression,Country-class balanced,7,7,144,0.1967632476331493,0.5154164821419649,0.3462585034013605,0.5095238095238095,0.2817460317460317,0.2477550776408124
openaq,PM10_p95_rel_p90_h3,logistic_regression,Local features,7,7,144,0.1967632476331493,0.4024615076953622,0.2578231292517007,0.3571428571428571,0.2154195011337868,0.2021087703374032
openaq,PM10_p95_rel_p90_h3,random_forest,Base,7,7,144,0.1967632476331493,0.2742531700424869,0.1829004329004329,0.2333333333333333,0.1585434173669468,0.1751810480289677
openaq,PM10_p95_rel_p90_h3,random_forest,Country-class balanced,7,7,144,0.1967632476331493,0.3115538543914004,0.2825944170771757,0.5714285714285714,0.197829131652661,0.5333345533335285
openaq,PM10_p95_rel_p90_h3,random_forest,Local features,7,7,144,0.1967632476331493,0.318079214260973,0.1593406593406593,0.2428571428571428,0.1607142857142857,0.1673028967684635
openaq,PM10_p95_rel_p90_h3,xgboost,Base,7,7,144,0.1967632476331493,0.2800716789678965,0.0,0.0,0.0,0.0
openaq,PM10_p95_rel_p90_h3,xgboost,Country-class balanced,7,7,144,0.1967632476331493,0.5120194329896284,0.2619047619047619,0.380952380952381,0.2774725274725275,0.2034228325476532
openaq,PM10_p95_rel_p90_h3,xgboost,Local features,7,7,144,0.1967632476331493,0.2555460792543268,0.0,0.0,0.0,0.0
openaq,PM25_p95_rel_p90_h1,logistic_regression,Base,8,8,168,0.1327978734228734,0.2086379793695448,0.1215277777777777,0.1458333333333333,0.1666666666666666,0.3039991258741258
