dataset,Pollutant,rows,numeric_rows,negative_rows,non_negative_rows,min_value,mean_value,median_value,max_value
openaq,PM2.5,7846,7846,160,7686,-9999.0,4.87746829770842,9.555738,1060.0
openaq,O3,7748,7748,28,7720,-9999.0,45.553255360576586,32.0,2004.076
openaq,NO2,7613,7613,92,7521,-9999.0,1.8899794850855318,10.0,1010.644
openaq,PM10,7225,7225,46,7179,-9999.0,27.323708023169473,21.736833333333,1985.0
openaq,SO2,5759,5759,117,5642,-9999.0,-1.985464181032524,3.0,3052.62
openaq,CO,4570,4570,23,4547,-49051.4,7164.075572756567,400.0,3198676.0
openaq,NO,2020,2020,124,1896,-999.0,-18.201081127961103,0.9,805.12
openaq,NOX,565,565,5,560,-9.999,3.049160015064412,0.00861,63.0
openaq,BC,100,100,2,98,-0.67,0.5779888,0.39,7.40837
openaq,PM1,4,4,0,4,0.75,2.1791665,1.983333,4.0
waqd2024,NO2,9942,9942,88,9854,-9999.0,5.938528411458855,8.73347,1010.644
waqd2024,PM2.5,9547,9547,149,9398,-9999.0,6.90666924110749,10.0,1060.0
waqd2024,O3,8350,8350,31,8319,-9999.0,45.19945204749222,34.265,2004.076
waqd2024,PM10,8050,8050,45,8005,-9999.0,27.09155116697359,22.9,1985.0
waqd2024,SO2,6907,6907,116,6791,-9999.0,-1.2682161435620125,2.56802248,3052.62
waqd2024,CO,5074,5074,20,5054,-49051.4,6513.014733996457,400.0,3198676.0
waqd2024,NO,3863,3863,91,3772,-999.0,-6.173397175805291,0.0070999999999999,377.7
waqd2024,NOX,2015,2015,6,2009,-9.999,1.8861654466550766,0.004,232.6053
waqd2024,BC,135,135,2,133,-0.67,0.6944666666666667,0.4374,5.41701
waqd2024,PM1,124,124,0,124,0.0,22.87214550737328,15.372569402058918,169.77678553263345
waqd2024,TEMPERATURE,117,117,6,111,-8.677083412806192,20.598759415273346,21.174999713897705,38.91666666666666
waqd2024,RELATIVEHUMIDITY,66,66,0,66,11.24000005722046,54.67800727052575,57.33624998728435,86.94461886088054
waqd2024,UM003,65,65,0,65,84.75,5879.050139145217,3854.375,24641.01025390625
